rank,eigenvalue
1,-0.07225571572780609
2,-0.00801403634250164
3,0.14306119084358215
4,0.3078557252883911
5,0.43966251611709595
6,0.5268175601959229
7,0.8983283638954163
8,1.246157169342041
9,1.537927508354187
10,1.8669668436050415
11,2.498331069946289
12,2.911360740661621
13,3.3012492656707764
14,4.05427360534668
15,4.702449321746826
16,5.433162212371826
17,5.870335578918457
18,6.641355991363525
19,7.384809970855713
20,7.930723667144775
21,8.941858291625977
22,10.130257606506348
23,10.71943473815918
24,11.983304023742676
25,12.605222702026367
26,13.752968788146973
27,15.346514701843262
28,16.14533233642578
29,17.177087783813477
30,18.529165267944336
31,19.608203887939453
32,21.099838256835938
33,22.103641510009766
34,23.514911651611328
35,24.578685760498047
36,26.90912628173828
37,28.177183151245117
38,29.561872482299805
39,31.125879287719727
40,32.67084884643555
41,34.26215744018555
42,35.8914909362793
43,37.80911636352539
44,39.478118896484375
45,41.286476135253906
46,43.083595275878906
47,45.08543014526367
48,46.92314147949219
49,48.95209503173828
50,50.983238220214844
51,53.03495788574219
52,55.16537094116211
53,57.29257583618164
54,59.46025466918945
55,61.68315887451172
56,63.96647262573242
57,66.23638916015625
58,68.6037368774414
59,70.92086029052734
60,73.43342590332031
61,75.849365234375
62,78.36045837402344
63,80.89229583740234
64,83.44953918457031
65,86.0572509765625
66,88.74856567382812
67,91.39797973632812
68,94.14728546142578
69,96.96380615234375
70,99.7101058959961
71,102.6877670288086
72,105.52447509765625
73,108.4996109008789
74,111.50208282470703
75,114.49444580078125
76,117.59394836425781
77,120.70272827148438
78,123.793701171875
79,127.03002166748047
80,130.2478485107422
81,133.5001983642578
82,136.75962829589844
83,140.26332092285156
84,143.55804443359375
85,146.96571350097656
86,150.49053955078125
87,153.9733123779297
88,157.5305633544922
89,161.19021606445312
90,164.6943359375
91,168.37689208984375
92,172.1035919189453
93,175.9331817626953
94,179.6529998779297
95,183.48257446289062
96,187.33657836914062
97,191.2811279296875
98,195.24172973632812
99,199.23797607421875
100,203.2271728515625
101,207.3076629638672
102,211.41677856445312
103,215.54759216308594
104,219.74423217773438
105,223.98074340820312
106,228.2251434326172
107,232.5537109375
108,236.921142578125
109,241.2865753173828
110,245.7335205078125
111,250.1703643798828
112,254.69540405273438
113,259.25006103515625
114,263.8257141113281
115,268.457763671875
116,273.1146240234375
117,277.8218994140625
118,282.57666015625
119,287.36993408203125
120,292.1590881347656
121,297.0624084472656
122,301.9503173828125
123,306.9056701660156
124,311.8619689941406
125,316.8908386230469
126,321.946533203125
127,327.05224609375
128,332.19525146484375
129,337.34991455078125
130,342.6055603027344
131,347.8237609863281
132,353.14752197265625
133,358.496826171875
134,363.8489990234375
135,369.2542724609375
136,374.75
137,380.18817138671875
138,385.7544250488281
139,391.3118591308594
140,396.9285583496094
141,402.55938720703125
142,408.2635192871094
143,413.9765319824219
144,419.7559509277344
145,425.5736999511719
146,431.4072265625
147,437.2594909667969
148,443.2103271484375
149,449.1650695800781
150,455.16986083984375
151,461.2000732421875
152,467.26922607421875
153,473.370361328125
154,479.5668640136719
155,485.7487487792969
156,491.96502685546875
157,498.2415771484375
158,504.5591735839844
159,510.90069580078125
160,517.3009033203125
161,523.7064208984375
162,530.1724853515625
163,536.6702880859375
164,543.22021484375
165,549.7944946289062
166,556.4161987304688
167,563.06005859375
168,569.7552490234375
169,576.4976806640625
170,583.262939453125
171,590.0725708007812
172,596.915771484375
173,603.79150390625
174,610.72412109375
175,617.6854248046875
176,624.6751098632812
177,631.7149047851562
178,638.7899169921875
179,645.9050903320312
180,653.06884765625
181,660.2343139648438
182,667.471923828125
183,674.7431030273438
184,682.0379028320312
185,689.3804931640625
186,696.7556762695312
187,704.1666870117188
188,711.6256713867188
189,719.1243286132812
190,726.6448974609375
191,734.2138671875
192,741.8162841796875
193,749.4653930664062
194,757.131103515625
195,764.869873046875
196,772.599609375
197,780.4041137695312
198,788.225341796875
199,796.0967407226562
200,803.9898071289062
201,811.9507446289062
202,819.9120483398438
203,827.9287719726562
204,835.9873657226562
205,844.0755615234375
206,852.19775390625
207,860.3704833984375
208,868.5599365234375
209,876.7951049804688
210,885.0784912109375
211,893.3914794921875
212,901.7301025390625
213,910.1224365234375
214,918.535400390625
215,927.001220703125
216,935.5018920898438
217,944.0300903320312
218,952.5899047851562
219,961.2083740234375
220,969.8397216796875
221,978.527587890625
222,987.23681640625
223,995.9873046875
224,1004.7728881835938
225,1013.6021728515625
226,1022.4617309570312
227,1031.3623046875
228,1040.2890625
229,1049.2608642578125
230,1058.2674560546875
231,1067.30908203125
232,1076.387451171875
233,1085.500732421875
234,1094.6461181640625
235,1103.836669921875
236,1113.060302734375
237,1122.3160400390625
238,1131.607177734375
239,1140.9393310546875
240,1150.30712890625
241,1159.7073974609375
242,1169.144775390625
243,1178.610595703125
244,1188.12158203125
245,1197.6693115234375
246,1207.2467041015625
247,1216.8577880859375
248,1226.51220703125
249,1236.1943359375
250,1245.9180908203125
251,1255.6748046875
252,1265.466796875
253,1275.2879638671875
254,1285.1585693359375
255,1295.0469970703125
256,1304.984619140625
257,1314.9515380859375
258,1324.95654296875
259,1334.9840087890625
260,1345.0684814453125
261,1355.16552734375
262,1365.3138427734375
263,1375.4915771484375
264,1385.699951171875
265,1395.9451904296875
266,1406.2337646484375
267,1416.5419921875
268,1426.895263671875
269,1437.2794189453125
270,1447.69775390625
271,1458.151611328125
272,1468.6431884765625
273,1479.1630859375
274,1489.72021484375
275,1500.309814453125
276,1510.938720703125
277,1521.5960693359375
278,1532.2935791015625
279,1543.01513671875
280,1553.781005859375
281,1564.5732421875
282,1575.4083251953125
283,1586.2664794921875
284,1597.1680908203125
285,1608.094970703125
286,1619.0640869140625
287,1630.0592041015625
288,1641.09423828125
289,1652.1585693359375
290,1663.25830078125
291,1674.390625
292,1685.55859375
293,1696.7589111328125
294,1707.9906005859375
295,1719.257568359375
296,1730.55615234375
297,1741.8912353515625
298,1753.2564697265625
299,1764.65576171875
300,1776.0855712890625
301,1787.5552978515625
302,1799.0518798828125
303,1810.582763671875
304,1822.1473388671875
305,1833.742919921875
306,1845.37158203125
307,1857.0377197265625
308,1868.7294921875
309,1880.4586181640625
310,1892.2198486328125
311,1904.01171875
312,1915.835693359375
313,1927.6968994140625
314,1939.5809326171875
315,1951.5074462890625
316,1963.4583740234375
317,1975.447265625
318,1987.46435546875
319,1999.5185546875
320,2011.5955810546875
321,2023.7138671875
322,2035.860107421875
