rank,eigenvalue
1,-8.037883758544922
2,-6.2794952392578125
3,-5.388521194458008
4,-5.382086753845215
5,-0.06192820891737938
6,-0.058428097516298294
7,-0.04708480089902878
8,-0.031865134835243225
9,-0.011589385569095612
10,1.9566344022750854
11,1.9697258472442627
12,1.9735866785049438
13,4.817306041717529
14,4.993178844451904
15,5.323918342590332
16,6.540156841278076
17,6.549479007720947
18,7.922097206115723
19,8.461043357849121
20,8.918041229248047
21,10.145642280578613
22,11.162232398986816
23,11.365274429321289
24,12.973541259765625
25,13.399550437927246
26,14.767020225524902
27,15.49889850616455
28,16.72321128845215
29,17.591197967529297
30,19.052616119384766
31,20.05390167236328
32,21.393131256103516
33,22.659351348876953
34,23.953426361083984
35,25.36806297302246
36,26.776121139526367
37,28.256549835205078
38,29.747310638427734
39,31.318326950073242
40,32.88756561279297
41,34.543479919433594
42,36.205528259277344
43,37.932151794433594
44,39.687835693359375
45,41.49195098876953
46,43.33452606201172
47,45.2197151184082
48,47.145225524902344
49,49.11205291748047
50,51.119686126708984
51,53.169029235839844
52,55.25847625732422
53,57.38956069946289
54,59.56068801879883
55,61.773475646972656
56,64.02806854248047
57,66.32183837890625
58,68.65646362304688
59,71.03339385986328
60,73.44993591308594
61,75.90599060058594
62,78.40444946289062
63,80.94200134277344
64,83.52226257324219
65,86.14204406738281
66,88.80261993408203
67,91.5028305053711
68,94.245361328125
69,97.02721405029297
70,99.84867095947266
71,102.71226501464844
72,105.61493682861328
73,108.55870819091797
74,111.54344177246094
75,114.56694793701172
76,117.63214111328125
77,120.73825073242188
78,123.884033203125
79,127.07000732421875
80,130.29493713378906
81,133.56056213378906
82,136.86801147460938
83,140.21511840820312
84,143.60281372070312
85,147.02981567382812
86,150.49822998046875
87,154.0053253173828
88,157.55357360839844
89,161.14077758789062
90,164.77001953125
91,168.43771362304688
92,172.14645385742188
93,175.89523315429688
94,179.68421936035156
95,183.511962890625
96,187.3812713623047
97,191.2895965576172
98,195.238525390625
99,199.2273712158203
100,203.2549591064453
101,207.32376098632812
102,211.4329833984375
103,215.58018493652344
104,219.76792907714844
105,223.9966583251953
106,228.2640838623047
107,232.5712432861328
108,236.91856384277344
109,241.3065643310547
110,245.73281860351562
111,250.2003631591797
112,254.70697021484375
113,259.2530517578125
114,263.8379211425781
115,268.4630432128906
116,273.1282043457031
117,277.8328552246094
118,282.576904296875
119,287.36016845703125
120,292.1824951171875
121,297.044921875
122,301.94793701171875
123,306.8901672363281
124,311.8716735839844
125,316.8917541503906
126,321.95208740234375
127,327.0523986816406
128,332.19085693359375
129,337.3688049316406
130,342.5869140625
131,347.84417724609375
132,353.1394958496094
133,358.47515869140625
134,363.8500671386719
135,369.2636413574219
136,374.7167053222656
137,380.2082824707031
138,385.7403259277344
139,391.3096923828125
140,396.91973876953125
141,402.5687255859375
142,408.2566833496094
143,413.9833068847656
144,419.74810791015625
145,425.5518798828125
146,431.3962097167969
147,437.27838134765625
148,443.2007751464844
149,449.15966796875
150,455.1590881347656
151,461.1967468261719
152,467.2732849121094
153,473.3884582519531
154,479.5419921875
155,485.7353515625
156,491.966552734375
157,498.23675537109375
158,504.545654296875
159,510.8930969238281
160,517.2788696289062
161,523.7020263671875
162,530.1656494140625
163,536.6668090820312
164,543.2052001953125
165,549.783935546875
166,556.4004516601562
167,563.0551147460938
168,569.7485961914062
169,576.4797973632812
170,583.2496337890625
171,590.0573120117188
172,596.9032592773438
173,603.787353515625
174,610.710693359375
175,617.6709594726562
176,624.6701049804688
177,631.7071533203125
178,638.7809448242188
179,645.893798828125
180,653.0439453125
181,660.2330322265625
182,667.4596557617188
183,674.724365234375
184,682.0261840820312
185,689.3672485351562
186,696.744384765625
187,704.1594848632812
188,711.61279296875
189,719.1038208007812
190,726.6324462890625
191,734.19873046875
192,741.8021240234375
193,749.4432373046875
194,757.1242065429688
195,764.8412475585938
196,772.5945434570312
197,780.3851928710938
198,788.21337890625
199,796.0797119140625
200,803.98193359375
201,811.9230346679688
202,819.9014282226562
203,827.9166259765625
204,835.9683227539062
205,844.0578002929688
206,852.1840209960938
207,860.3475341796875
208,868.5478515625
209,876.7857055664062
210,885.0595703125
211,893.3712158203125
212,901.719482421875
213,910.1040649414062
214,918.525634765625
215,926.9844360351562
216,935.4803466796875
217,944.0126342773438
218,952.58056640625
219,961.1851806640625
220,969.8276977539062
221,978.5067138671875
222,987.2215576171875
223,995.97265625
224,1004.7599487304688
225,1013.5843505859375
226,1022.4458618164062
227,1031.341796875
228,1040.27392578125
229,1049.244140625
230,1058.25
231,1067.291748046875
232,1076.3692626953125
233,1085.482421875
234,1094.6331787109375
235,1103.8189697265625
236,1113.0413818359375
237,1122.2991943359375
238,1131.5928955078125
239,1140.922119140625
240,1150.287841796875
241,1159.6888427734375
242,1169.125732421875
243,1178.5977783203125
244,1188.105712890625
245,1197.6490478515625
246,1207.2286376953125
247,1216.843017578125
248,1226.493408203125
249,1236.17822265625
250,1245.8994140625
251,1255.6553955078125
252,1265.446533203125
253,1275.2740478515625
254,1285.1358642578125
255,1295.0341796875
256,1304.966064453125
257,1314.9327392578125
258,1324.9356689453125
259,1334.9732666015625
260,1345.045654296875
261,1355.1527099609375
262,1365.294189453125
263,1375.471435546875
264,1385.683349609375
265,1395.9290771484375
266,1406.210205078125
267,1416.5257568359375
268,1426.8765869140625
269,1437.2618408203125
270,1447.6805419921875
271,1458.134033203125
272,1468.6221923828125
273,1479.145263671875
274,1489.70263671875
275,1500.2939453125
276,1510.9195556640625
277,1521.57861328125
278,1532.2723388671875
279,1542.99951171875
280,1553.760986328125
281,1564.5567626953125
282,1575.3863525390625
283,1586.2496337890625
284,1597.1473388671875
285,1608.0789794921875
286,1619.044921875
287,1630.04296875
288,1641.074462890625
289,1652.140380859375
290,1663.2408447265625
291,1674.37255859375
292,1685.5394287109375
293,1696.73876953125
294,1707.97265625
295,1719.2388916015625
296,1730.538330078125
297,1741.8707275390625
298,1753.236572265625
299,1764.6356201171875
300,1776.0679931640625
301,1787.53369140625
302,1799.0323486328125
303,1810.5638427734375
304,1822.127197265625
305,1833.723388671875
306,1845.35400390625
307,1857.0159912109375
308,1868.7115478515625
309,1880.43896484375
310,1892.1976318359375
311,1903.9915771484375
312,1915.8160400390625
313,1927.673583984375
314,1939.56396484375
315,1951.4859619140625
316,1963.43994140625
317,1975.4271240234375
318,1987.446044921875
319,1999.4967041015625
320,2011.5792236328125
321,2023.693115234375
322,2035.841064453125
323,2048.018798828125
324,2060.229248046875
325,2072.471923828125
326,2084.746826171875
327,2097.052734375
328,2109.388916015625
329,2121.757568359375
330,2134.157470703125
331,2146.588623046875
332,2159.05224609375
333,2171.546142578125
334,2184.07275390625
335,2196.62890625
336,2209.216552734375
337,2221.83642578125
338,2234.486083984375
339,2247.166259765625
340,2259.87939453125
341,2272.62353515625
342,2285.39599609375
343,2298.200927734375
344,2311.037109375
345,2323.90185546875
346,2336.79833984375
347,2349.725830078125
348,2362.68359375
349,2375.67041015625
350,2388.68896484375
351,2401.739013671875
352,2414.817138671875
353,2427.927978515625
354,2441.067626953125
355,2454.2373046875
356,2467.4365234375
357,2480.66650390625
358,2493.9248046875
359,2507.21484375
360,2520.533935546875
361,2533.88330078125
362,2547.261962890625
363,2560.67041015625
364,2574.107177734375
365,2587.574462890625
366,2601.071533203125
367,2614.59765625
368,2628.153564453125
369,2641.737548828125
370,2655.352294921875
371,2668.9951171875
372,2682.667236328125
373,2696.3681640625
374,2710.099365234375
375,2723.8583984375
376,2737.646240234375
377,2751.4638671875
378,2765.30810546875
379,2779.182861328125
380,2793.085693359375
381,2807.017578125
382,2820.9775390625
383,2834.96533203125
384,2848.9833984375
385,2863.027587890625
386,2877.1015625
387,2891.20361328125
388,2905.33251953125
389,2919.48974609375
390,2933.676513671875
391,2947.889404296875
392,2962.130615234375
393,2976.39990234375
394,2990.69775390625
395,3005.021484375
396,3019.3740234375
397,3033.75439453125
398,3048.161865234375
399,3062.596435546875
400,3077.05810546875
401,3091.547607421875
402,3106.064697265625
403,3120.609130859375
404,3135.179931640625
405,3149.778076171875
406,3164.403564453125
407,3179.0556640625
408,3193.735107421875
409,3208.439453125
410,3223.17236328125
411,3237.93115234375
412,3252.718017578125
413,3267.531494140625
414,3282.3681640625
415,3297.233154296875
416,3312.124755859375
417,3327.043701171875
418,3341.986572265625
419,3356.95703125
420,3371.95263671875
421,3386.97607421875
422,3402.025146484375
423,3417.099365234375
424,3432.19873046875
425,3447.32421875
426,3462.47509765625
427,3477.65478515625
428,3492.856689453125
429,3508.083740234375
430,3523.337158203125
431,3538.6162109375
432,3553.92041015625
433,3569.25048828125
434,3584.60498046875
435,3599.984130859375
436,3615.389404296875
437,3630.818115234375
438,3646.27197265625
439,3661.752685546875
440,3677.2568359375
441,3692.78515625
442,3708.33837890625
443,3723.916015625
444,3739.51904296875
445,3755.145751953125
446,3770.79638671875
447,3786.47216796875
448,3802.1728515625
449,3817.8955078125
450,3833.643798828125
451,3849.4150390625
452,3865.210693359375
453,3881.031005859375
454,3896.873779296875
455,3912.740478515625
456,3928.631591796875
457,3944.546142578125
458,3960.48388671875
459,3976.445556640625
460,3992.429443359375
461,4008.437744140625
462,4024.468994140625
463,4040.523681640625
464,4056.600341796875
465,4072.700927734375
466,4088.8251953125
467,4104.97119140625
468,4121.140625
469,4137.3330078125
470,4153.54736328125
471,4169.78369140625
472,4186.04345703125
473,4202.3251953125
474,4218.62939453125
475,4234.95654296875
476,4251.30615234375
477,4267.67724609375
478,4284.06982421875
479,4300.48583984375
480,4316.9228515625
481,4333.3818359375
482,4349.86279296875
483,4366.3662109375
484,4382.88916015625
485,4399.43603515625
486,4416.00390625
487,4432.59228515625
488,4449.2021484375
489,4465.83447265625
490,4482.486328125
491,4499.16015625
492,4515.85595703125
493,4532.57177734375
494,4549.30908203125
495,4566.06640625
496,4582.8447265625
497,4599.6455078125
498,4616.46435546875
499,4633.30517578125
500,4650.166015625
501,4667.0478515625
502,4683.94970703125
503,4700.87109375
504,4717.8134765625
505,4734.77685546875
506,4751.75927734375
507,4768.76123046875
508,4785.78369140625
509,4802.826171875
510,4819.88720703125
511,4836.96875
512,4854.06884765625
513,4871.19091796875
514,4888.33056640625
515,4905.490234375
516,4922.66943359375
517,4939.8671875
518,4957.08837890625
519,4974.3212890625
520,4991.57568359375
521,5008.85009765625
522,5026.14404296875
523,5043.45361328125
524,5060.78662109375
525,5078.1357421875
526,5095.50341796875
527,5112.8876953125
528,5130.29443359375
529,5147.7158203125
530,5165.1572265625
531,5182.6162109375
532,5200.09423828125
533,5217.58935546875
534,5235.1025390625
535,5252.6328125
536,5270.18212890625
537,5287.74951171875
538,5305.33447265625
539,5322.93505859375
540,5340.5537109375
541,5358.19091796875
542,5375.84521484375
543,5393.515625
544,5411.2060546875
545,5428.9111328125
546,5446.6328125
547,5464.37451171875
548,5482.1279296875
549,5499.90185546875
550,5517.6923828125
551,5535.50048828125
552,5553.3232421875
553,5571.1630859375
554,5589.01611328125
555,5606.888671875
556,5624.77880859375
557,5642.68115234375
558,5660.6015625
559,5678.5380859375
560,5696.48779296875
561,5714.46044921875
562,5732.44384765625
563,5750.443359375
564,5768.46630859375
565,5786.498046875
566,5804.53369140625
567,5822.60009765625
568,5840.6748046875
569,5858.76708984375
570,5876.8740234375
571,5895.00048828125
572,5913.134765625
573,5931.283203125
574,5949.451171875
575,5967.6337890625
576,5985.830078125
577,6004.0439453125
578,6022.26708984375
579,6040.5078125
580,6058.76416015625
581,6077.02880859375
582,6095.31298828125
583,6113.6083984375
584,6131.92138671875
585,6150.24560546875
586,6168.5810546875
587,6186.93505859375
588,6205.29736328125
589,6223.6787109375
590,6242.07080078125
591,6260.47802734375
592,6278.8974609375
593,6297.33349609375
594,6315.77978515625
595,6334.23876953125
596,6352.71044921875
597,6371.19677734375
598,6389.693359375
599,6408.20654296875
600,6426.72998046875
601,6445.2666015625
602,6463.81396484375
603,6482.3779296875
604,6500.94921875
605,6519.53662109375
606,6538.1328125
607,6556.74462890625
608,6575.3662109375
609,6594.0029296875
610,6612.650390625
611,6631.306640625
612,6649.97705078125
613,6668.658203125
614,6687.35205078125
615,6706.05712890625
616,6724.77294921875
617,6743.501953125
618,6762.23876953125
619,6780.98974609375
620,6799.75341796875
621,6818.5244140625
622,6837.30712890625
623,6856.1015625
624,6874.90625
625,6893.72216796875
626,6912.54736328125
627,6931.38427734375
628,6950.23095703125
629,6969.0888671875
630,6987.95703125
631,7006.8330078125
632,7025.720703125
633,7044.61865234375
634,7063.525390625
635,7082.44287109375
636,7101.37158203125
637,7120.30908203125
638,7139.25439453125
639,7158.21044921875
640,7177.17333984375
641,7196.14990234375
642,7215.13427734375
643,7234.12890625
644,7253.1318359375
645,7272.14306640625
646,7291.16357421875
647,7310.19140625
648,7329.22900390625
649,7348.27734375
650,7367.33154296875
651,7386.3955078125
652,7405.46826171875
653,7424.54931640625
654,7443.63671875
655,7462.73486328125
656,7481.83984375
657,7500.9541015625
658,7520.07470703125
659,7539.20361328125
660,7558.34033203125
661,7577.484375
662,7596.63623046875
663,7615.796875
664,7634.96240234375
665,7654.13623046875
666,7673.31884765625
667,7692.50537109375
668,7711.70263671875
669,7730.90478515625
670,7750.11572265625
671,7769.33056640625
672,7788.5556640625
673,7807.78515625
674,7827.0205078125
675,7846.265625
676,7865.513671875
677,7884.77001953125
678,7904.0302734375
679,7923.2998046875
680,7942.5751953125
681,7961.853515625
682,7981.140625
683,8000.43359375
684,8019.73046875
685,8039.03466796875
686,8058.34375
687,8077.65771484375
688,8096.978515625
689,8116.30224609375
690,8135.6328125
691,8154.96923828125
692,8174.31103515625
693,8193.65625
694,8213.0048828125
695,8232.36328125
696,8251.720703125
697,8271.0849609375
698,8290.45703125
699,8309.8291015625
700,8329.2080078125
701,8348.591796875
702,8367.974609375
703,8387.3681640625
704,8406.7626953125
705,8426.1611328125
706,8445.5634765625
707,8464.9697265625
708,8484.3828125
709,8503.796875
710,8523.2119140625
711,8542.6328125
712,8562.0576171875
713,8581.486328125
714,8600.9150390625
715,8620.349609375
716,8639.787109375
717,8659.2275390625
718,8678.66796875
719,8698.115234375
720,8717.564453125
721,8737.01171875
722,8756.466796875
723,8775.921875
724,8795.3837890625
725,8814.83984375
726,8834.3056640625
727,8853.76953125
728,8873.2333984375
729,8892.7021484375
730,8912.1748046875
731,8931.6455078125
732,8951.1171875
733,8970.595703125
734,8990.0703125
735,9009.5498046875
736,9029.02734375
737,9048.509765625
738,9067.9892578125
739,9087.4736328125
740,9106.9560546875
741,9126.4423828125
742,9145.9267578125
743,9165.4150390625
744,9184.9013671875
745,9204.3916015625
746,9223.8759765625
747,9243.3662109375
748,9262.8544921875
749,9282.341796875
750,9301.8349609375
751,9321.3193359375
752,9340.8095703125
753,9360.3017578125
754,9379.7890625
755,9399.27734375
756,9418.765625
757,9438.25390625
758,9457.740234375
759,9477.224609375
760,9496.7119140625
761,9516.197265625
762,9535.681640625
763,9555.1669921875
764,9574.646484375
765,9594.1259765625
766,9613.6064453125
767,9633.0830078125
768,9652.560546875
769,9672.037109375
770,9691.5107421875
771,9710.98046875
772,9730.4521484375
773,9749.921875
774,9769.3876953125
775,9788.8525390625
776,9808.314453125
777,9827.7734375
778,9847.2333984375
779,9866.69140625
780,9886.1416015625
781,9905.591796875
782,9925.0400390625
783,9944.4853515625
784,9963.9287109375
785,9983.3671875
786,10002.8056640625
787,10022.2392578125
788,10041.669921875
789,10061.09765625
790,10080.5224609375
791,10099.94140625
792,10119.3583984375
793,10138.7734375
794,10158.18359375
795,10177.58984375
796,10196.9931640625
797,10216.390625
798,10235.7861328125
799,10255.1748046875
800,10274.5654296875
801,10293.9453125
802,10313.326171875
803,10332.69921875
804,10352.06640625
805,10371.4345703125
806,10390.791015625
807,10410.1484375
808,10429.4990234375
809,10448.8447265625
810,10468.185546875
811,10487.51953125
812,10506.8505859375
813,10526.1767578125
814,10545.4951171875
815,10564.8115234375
816,10584.119140625
817,10603.42578125
818,10622.720703125
819,10642.015625
820,10661.2998046875
821,10680.5791015625
822,10699.85546875
823,10719.1220703125
824,10738.38671875
825,10757.6396484375
826,10776.890625
827,10796.1337890625
828,10815.3681640625
829,10834.6005859375
830,10853.822265625
831,10873.0380859375
832,10892.2490234375
833,10911.4501953125
834,10930.6484375
835,10949.8388671875
836,10969.0166015625
837,10988.1943359375
838,11007.361328125
839,11026.517578125
840,11045.6708984375
