step,loss,spectral_loss,spacing_loss,smoothness_loss,curvature_loss,tv_loss,amplitude_loss,frequency_loss,prime_loss
0,0.7031027674674988,0.07561015337705612,1.2549852132797241,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7030834555625916,0.07560722529888153,1.2549515962600708,1.1412948808242618e-08,1.866331568456392e-11,8.432949107373133e-05,1.2520149539341219e-05,3.6957867877163153e-09,0.0
2,0.7030671834945679,0.07560539990663528,1.2549220323562622,3.3295613377504196e-08,5.0378173854781494e-11,0.00014198862481862307,4.113510294700973e-05,3.3105203023353624e-09,0.0
3,0.7031005620956421,0.07560338824987411,1.2549922466278076,6.89005261733655e-08,1.0202067662890002e-10,0.00020100640540476888,8.840885857352987e-05,1.962693341184263e-09,0.0
4,0.7030001878738403,0.07560078799724579,1.254795789718628,1.1854304915459579e-07,1.7605211732885095e-10,0.000262187939370051,0.00015054816321935505,2.1482908507675091e-10,0.0
5,0.7030246257781982,0.07559714466333389,1.254851222038269,1.7903749949255143e-07,2.6653620976979653e-10,0.0003200099745299667,0.00022613443434238434,2.556757860983083e-10,0.0
6,0.7029775977134705,0.07559457421302795,1.2547615766525269,2.51308108545345e-07,3.7413772080441277e-10,0.00037609305582009256,0.00031521840719506145,4.833562439188199e-10,0.0
7,0.7029479742050171,0.07559170573949814,1.2547074556350708,3.3654069397925923e-07,5.016446147365627e-10,0.00043142359936609864,0.0004155678325332701,7.122072376297695e-10,0.0
8,0.7029454708099365,0.07558874785900116,1.25470769405365,4.212761268718168e-07,6.377630645815202e-10,0.00047693715896457434,0.0005018981173634529,9.11928421665209e-10,0.0
9,0.7028127908706665,0.07558712363243103,1.25444495677948,5.171919497115596e-07,7.938303903110011e-10,0.0005228817462921143,0.0005968759651295841,7.927005718499913e-09,0.0
10,0.702791690826416,0.07558370381593704,1.254408836364746,6.297975119196053e-07,9.759083541283076e-10,0.000571946264244616,0.0007102545350790024,2.0417509460912697e-08,0.0
11,0.7027464509010315,0.07558033615350723,1.2543243169784546,7.587299819533655e-07,1.183526832093662e-09,0.0006235121400095522,0.0008418394136242568,3.649412150252829e-08,0.0
12,0.702724814414978,0.07557886838912964,1.25428307056427,9.039828228196711e-07,1.4167937933962094e-09,0.0006772010237909853,0.0009916276903823018,5.490737464697304e-08,0.0
13,0.7026671171188354,0.07557566463947296,1.2541733980178833,1.0658451401468483e-06,1.6764327703810977e-09,0.000732844287995249,0.0011597371194511652,7.751557262736242e-08,0.0
14,0.7026470899581909,0.07557255029678345,1.254138469696045,1.2445900665625231e-06,1.962844331515612e-09,0.000789980695117265,0.001346507342532277,1.0454782994884226e-07,0.0
15,0.7025584578514099,0.07557027041912079,1.2539647817611694,1.44075977459579e-06,2.2770727525767143e-09,0.0008483203710056841,0.0015525325434282422,1.3834606704676844e-07,0.0
16,0.7024926543235779,0.07556592673063278,1.2538408041000366,1.654787183724693e-06,2.6200344116489305e-09,0.0009076480637304485,0.0017783325165510178,1.7889186665343004e-07,0.0
17,0.7024543285369873,0.07556378096342087,1.2537673711776733,1.8858241901398287e-06,2.9901292553091707e-09,0.0009673001477494836,0.0020232938695698977,2.273537091923572e-07,0.0
18,0.7022866010665894,0.07556070387363434,1.2534370422363281,2.134768919859198e-06,3.3890383832613225e-09,0.0010271540377289057,0.0022879079915583134,2.867018338292837e-07,0.0
19,0.7022736668586731,0.07555688172578812,1.2534176111221313,2.402952077318332e-06,3.818914073860924e-09,0.0010873465798795223,0.0025734223891049623,3.6591356433746114e-07,0.0
20,0.7022464871406555,0.07555290311574936,1.2533700466156006,2.6917030027107103e-06,4.281958343455017e-09,0.0011484602000564337,0.00288111949339509,4.669511497468193e-07,0.0
21,0.70216965675354,0.07554919272661209,1.2532222270965576,3.0019825771887554e-06,4.779837858848168e-09,0.001210705959238112,0.0032116426154971123,5.874409225725685e-07,0.0
22,0.7021103501319885,0.07554440945386887,1.2531118392944336,3.33478465108783e-06,5.314104711828804e-09,0.001274718320928514,0.0035659910645335913,7.300228048734425e-07,0.0
23,0.7020567059516907,0.07554220408201218,1.2530076503753662,3.6913361327606253e-06,5.886514387043462e-09,0.0013403628254309297,0.003945441450923681,9.032028174260631e-07,0.0
24,0.702000081539154,0.07554029673337936,1.2528966665267944,4.073410309501924e-06,6.499133675674784e-09,0.001407539821229875,0.004352371208369732,1.1138843092339812e-06,0.0
25,0.7019298076629639,0.07553494721651077,1.2527652978897095,4.4823859752796125e-06,7.154533854247802e-09,0.0014760345220565796,0.004788000136613846,1.3631507727041026e-06,0.0
26,0.7018616199493408,0.07553189247846603,1.2526333332061768,4.9194140956387855e-06,7.854721317812619e-09,0.0015457776607945561,0.005253545939922333,1.6528083506273106e-06,0.0
27,0.7017689347267151,0.07552764564752579,1.2524547576904297,5.385660642787116e-06,8.60160387361475e-09,0.0016168204601854086,0.005750765558332205,1.9874055396940093e-06,0.0
28,0.7017154693603516,0.07552413642406464,1.2523530721664429,5.882299319637241e-06,9.397195910310074e-09,0.0016890157712623477,0.006280827801674604,2.3686466192884836e-06,0.0
29,0.7016730904579163,0.0755203515291214,1.2522740364074707,6.4077503338921815e-06,1.0238598413536693e-08,0.0017627254128456116,0.0068413796834647655,2.7859111924044555e-06,0.0
30,0.7016142010688782,0.07551665604114532,1.2521617412567139,6.9615375650755595e-06,1.1124615895141687e-08,0.0018377512460574508,0.007432017009705305,3.2359409942728234e-06,0.0
31,0.7015758156776428,0.07551321387290955,1.2520898580551147,7.543169431301067e-06,1.2053693154712164e-08,0.0019137997878715396,0.008052167482674122,3.7125007565919077e-06,0.0
32,0.7015053629875183,0.07550899684429169,1.251955270767212,8.151663678290788e-06,1.3023631062480945e-08,0.001990766730159521,0.00870103482156992,4.2074530028912704e-06,0.0
33,0.701421856880188,0.07550512999296188,1.2517938613891602,8.786410944594536e-06,1.4033028072901743e-08,0.002068791538476944,0.009377961046993732,4.716314833785873e-06,0.0
34,0.7013184428215027,0.07550033926963806,1.2515944242477417,9.446851436223369e-06,1.5080564352842885e-08,0.0021475593093782663,0.010082603432238102,5.231061095400946e-06,0.0
35,0.701227068901062,0.07549621909856796,1.251417636871338,1.0134353942703456e-05,1.6168540284411392e-08,0.0022270025219768286,0.010817141272127628,5.753632194682723e-06,0.0
36,0.7011088728904724,0.0754910483956337,1.251189112663269,1.0847013072634581e-05,1.7292812515279365e-08,0.0023068611044436693,0.01157900970429182,6.271923211897956e-06,0.0
37,0.701053261756897,0.07548616081476212,1.2510852813720703,1.1592429473239463e-05,1.8469906493123744e-08,0.0023878253996372223,0.01236996240913868,6.824765023338841e-06,0.0
38,0.700954794883728,0.07548108696937561,1.2508962154388428,1.2371023331070319e-05,1.970088447933449e-08,0.002469804836437106,0.01318913884460926,7.415649633912835e-06,0.0
39,0.70090252161026,0.0754755437374115,1.2508002519607544,1.3183407645556144e-05,2.0986684390322807e-08,0.002552721416577697,0.014036823064088821,8.048720701481216e-06,0.0
40,0.7008505463600159,0.07547304034233093,1.2506986856460571,1.4029598787601572e-05,2.2327631299390305e-08,0.002636565826833248,0.01491132378578186,8.727437489142176e-06,0.0
41,0.7008317112922668,0.07546739280223846,1.2506694793701172,1.4906738215358928e-05,2.371722196414794e-08,0.0027211718261241913,0.01581348106265068,9.416285138286185e-06,0.0
42,0.700691819190979,0.07546219974756241,1.2503973245620728,1.5815776350791566e-05,2.5157326888347598e-08,0.0028064509388059378,0.016743117943406105,1.0121142622665502e-05,0.0
43,0.700675904750824,0.07545607537031174,1.2503749132156372,1.6757860066718422e-05,2.6650656792526206e-08,0.002892572432756424,0.0177004411816597,1.0847407793335151e-05,0.0
44,0.7006037831306458,0.07545211166143417,1.250235915184021,1.7733180357026868e-05,2.8197829848863876e-08,0.0029796347953379154,0.018683718517422676,1.1594394891289994e-05,0.0
45,0.7005391716957092,0.0754484012722969,1.2501112222671509,1.8742375686997548e-05,2.9800219181197463e-08,0.003068093443289399,0.01969282515347004,1.2364932445052546e-05,0.0
46,0.7004354596138,0.07544351369142532,1.2499104738235474,1.9786046323133633e-05,3.1459578053727455e-08,0.0031576817855238914,0.020727358758449554,1.3163654330128338e-05,0.0
47,0.7004411220550537,0.07543789595365524,1.2499299049377441,2.0863808458670974e-05,3.3174956115544774e-08,0.003248341381549835,0.021787414327263832,1.3991601917950902e-05,0.0
48,0.7003442049026489,0.07543262839317322,1.2497435808181763,2.1977766664349474e-05,3.495078715332056e-08,0.0033400754909962416,0.02287563495337963,1.484599579271162e-05,0.0
49,0.7002735733985901,0.07542714476585388,1.2496100664138794,2.3128286557039246e-05,3.678785986949151e-08,0.003433014964684844,0.023992398753762245,1.5727173376944847e-05,0.0
