truth_index,truth_t,nearest_candidate_t,nearest_distance
0,101.31785100573138,101.3178510057314,1.4210854715202004e-14
1,103.72553804047834,103.72553804047834,0.0
2,105.44662305232609,105.44662305232609,0.0
3,107.1686111842764,107.16861118427641,1.4210854715202004e-14
4,111.02953554316967,111.02953554316969,1.4210854715202004e-14
5,111.87465917699264,111.87465917699262,1.4210854715202004e-14
6,114.32022091545271,114.32022091545272,1.4210854715202004e-14
7,116.22668032085755,116.22668032085755,0.0
8,118.79078286597621,118.79078286597621,0.0
9,121.37012500242065,121.37012500242065,0.0
10,122.94682929355258,122.94682929355258,0.0
11,124.25681855434577,124.25681855434576,1.4210854715202004e-14
12,127.5166838795965,127.51668387959648,1.4210854715202004e-14
13,129.57870419995606,129.57870419995606,0.0
14,131.08768853093267,131.08768853093267,0.0
15,133.4977372029976,133.4977372029976,0.0
16,134.75650975337388,134.75650975337385,2.842170943040401e-14
17,138.11604205453344,138.11604205453347,2.842170943040401e-14
18,139.7362089521214,139.7362089521214,0.0
19,141.12370740402113,141.1237074040211,2.842170943040401e-14
20,143.11184580762063,143.11184580762063,0.0
21,146.0009824867655,146.0009824867655,0.0
22,147.42276534255961,147.42276534255961,0.0
23,150.05352042078488,150.05352042078488,0.0
24,150.92525761224147,150.92525761224147,0.0
25,153.0246938111989,153.02469381119886,2.842170943040401e-14
26,156.11290929423788,156.11290929423785,2.842170943040401e-14
27,157.59759181759406,157.59759181759404,2.842170943040401e-14
28,158.8499881714205,158.84998817142048,2.842170943040401e-14
