truth_index,truth_t,nearest_candidate_t,nearest_distance
0,101.31785100573138,101.31785100573138,0.0
1,103.72553804047834,103.72553804047834,0.0
2,105.44662305232609,105.44662305232609,0.0
3,107.1686111842764,107.1686111842764,0.0
4,111.02953554316967,111.02953554316967,0.0
5,111.87465917699264,111.87465917699264,0.0
6,114.32022091545271,114.32022091545271,0.0
7,116.22668032085755,116.22668032085755,0.0
8,118.79078286597621,118.79078286597621,0.0
9,121.37012500242065,121.37012500242065,0.0
10,122.94682929355258,122.94682929355258,0.0
11,124.25681855434577,124.25681855434577,0.0
12,127.5166838795965,127.5166838795965,0.0
13,129.57870419995606,129.57870419995606,0.0
14,131.08768853093267,131.08768853093267,0.0
15,133.4977372029976,133.4977372029976,0.0
16,134.75650975337388,134.75650975337388,0.0
17,138.11604205453344,138.11604205453344,0.0
18,139.7362089521214,139.7362089521214,0.0
19,141.12370740402113,141.12370740402113,0.0
20,143.11184580762063,143.11184580762063,0.0
21,146.0009824867655,146.0009824867655,0.0
22,147.42276534255961,147.42276534255961,0.0
23,150.05352042078488,150.05352042078488,0.0
24,150.92525761224147,150.92525761224147,0.0
25,153.0246938111989,153.0246938111989,0.0
26,156.11290929423788,156.11290929423788,0.0
27,157.59759181759406,157.59759181759406,0.0
28,158.8499881714205,158.8499881714205,0.0
