rank,color,size,node_indices,t_min,t_max,diameter_t
1,red,4,3 4 6 7,131.08768853093267,147.42276534255961,16.335076811626948
2,red,4,3 4 7 8,131.08768853093267,150.05352042078488,18.96583188985221
3,red,3,2 3 7,129.57870419995606,147.42276534255961,17.84406114260355
4,red,2,0 1,105.44662305232609,114.32022091545272,8.873597863126633
5,red,1,5,139.7362089521214,139.7362089521214,0.0
6,red,1,9,157.59759181759404,157.59759181759404,0.0
1,blue,3,1 2 4,114.32022091545272,133.4977372029976,19.177516287544876
2,blue,3,2 4 5,129.57870419995606,139.7362089521214,10.157504752165323
3,blue,3,2 5 6,129.57870419995606,143.11184580762063,13.533141607664561
4,blue,3,4 5 9,133.4977372029976,157.59759181759404,24.09985461459644
5,blue,3,5 6 8,139.7362089521214,150.05352042078488,10.31731146866349
6,blue,3,5 6 9,139.7362089521214,157.59759181759404,17.86138286547265
7,blue,3,5 7 9,139.7362089521214,157.59759181759404,17.86138286547265
8,blue,2,1 3,114.32022091545272,131.08768853093267,16.767467615479944
9,blue,2,3 5,131.08768853093267,139.7362089521214,8.64852042118872
10,blue,1,0,105.44662305232609,105.44662305232609,0.0
1,green,2,8 9,150.05352042078488,157.59759181759404,7.544071396809159
2,green,1,0,105.44662305232609,105.44662305232609,0.0
3,green,1,1,114.32022091545272,114.32022091545272,0.0
4,green,1,2,129.57870419995606,129.57870419995606,0.0
5,green,1,3,131.08768853093267,131.08768853093267,0.0
6,green,1,4,133.4977372029976,133.4977372029976,0.0
7,green,1,5,139.7362089521214,139.7362089521214,0.0
8,green,1,6,143.11184580762063,143.11184580762063,0.0
9,green,1,7,147.42276534255961,147.42276534255961,0.0
1,violet,2,0 2,105.44662305232609,129.57870419995606,24.132081147629975
2,violet,2,0 3,105.44662305232609,131.08768853093267,25.641065478606578
3,violet,2,0 4,105.44662305232609,133.4977372029976,28.05111415067151
4,violet,2,0 5,105.44662305232609,139.7362089521214,34.2895858997953
5,violet,2,0 6,105.44662305232609,143.11184580762063,37.665222755294536
6,violet,2,1 5,114.32022091545272,139.7362089521214,25.415988036668665
7,violet,2,1 6,114.32022091545272,143.11184580762063,28.791624892167903
8,violet,2,3 9,131.08768853093267,157.59759181759404,26.50990328666137
9,violet,1,7,147.42276534255961,147.42276534255961,0.0
10,violet,1,8,150.05352042078488,150.05352042078488,0.0
