clique_rank,local_rank,color,clique_size,node_idx,t,score,abs_zeta,kind
1,1,green,9,0,101.3178510057314,5.079157155471111,2.7670088300658996e-14,
1,2,green,9,1,103.72553804047834,4.634680608687731,1.2649065955306883e-15,
1,3,green,9,2,105.44662305232609,4.852710623031312,8.419725772877462e-15,
1,4,green,9,3,107.16861118427641,4.402704316458316,7.411137531111628e-15,
1,5,green,9,4,111.02953554316969,4.484512633941792,2.461888466265715e-14,
1,6,green,9,5,111.87465917699262,4.951079133242802,2.3256094154639964e-14,
1,7,green,9,6,114.32022091545272,4.951521165904058,1.8420055714658744e-14,
1,8,green,9,7,116.22668032085755,4.565712658396811,1.3667985781189432e-14,
1,9,green,9,8,118.79078286597621,4.9172837335054265,2.8468938186298855e-14,
2,1,green,9,164,387.22289022238795,4.366808897975428,1.1028449385549003e-13,
2,2,green,9,165,388.8461283542323,4.740016792752566,3.040456811192936e-13,
2,3,green,9,166,391.456083563638,4.756669835815143,1.3376361367289724e-13,
2,4,green,9,167,392.24508333951906,4.428582527071053,7.26132402965151e-14,
2,5,green,9,168,393.4277438444341,4.253931703956367,2.335572256308479e-13,
2,6,green,9,169,395.5828700109937,4.400551894397407,5.4136287894055623e-14,
2,7,green,9,170,396.3818542225922,4.846791301477799,3.191227435533159e-14,
2,8,green,9,171,397.9187362096143,4.26324537315368,3.0315738889987646e-13,
2,9,green,9,172,399.98511987619486,3.238398060077345,2.6173091950484897e-13,
3,1,green,5,5,111.87465917699262,4.951079133242802,2.3256094154639964e-14,
3,2,green,5,6,114.32022091545272,4.951521165904058,1.8420055714658744e-14,
3,3,green,5,7,116.22668032085755,4.565712658396811,1.3667985781189432e-14,
3,4,green,5,8,118.79078286597621,4.9172837335054265,2.8468938186298855e-14,
3,5,green,5,9,121.37012500242065,4.588756541691344,9.365773181018965e-15,
4,1,green,5,6,114.32022091545272,4.951521165904058,1.8420055714658744e-14,
4,2,green,5,7,116.22668032085755,4.565712658396811,1.3667985781189432e-14,
4,3,green,5,8,118.79078286597621,4.9172837335054265,2.8468938186298855e-14,
4,4,green,5,9,121.37012500242065,4.588756541691344,9.365773181018965e-15,
4,5,green,5,10,122.94682929355258,4.455293648557525,1.2786268448752426e-14,
5,1,green,5,7,116.22668032085755,4.565712658396811,1.3667985781189432e-14,
5,2,green,5,8,118.79078286597621,4.9172837335054265,2.8468938186298855e-14,
5,3,green,5,9,121.37012500242065,4.588756541691344,9.365773181018965e-15,
5,4,green,5,10,122.94682929355258,4.455293648557525,1.2786268448752426e-14,
5,5,green,5,11,124.25681855434576,4.480624924086519,1.6639382116201373e-14,
