rank,color,size,node_indices,t_min,t_max,diameter_t
1,red,4,98 99 101 102,283.21118573323383,289.57985492921887,6.368669195985035
2,red,4,138 139 141 142,347.2726775844204,353.48890048871885,6.216222904298434
3,red,3,12 14 15,127.51668387959648,133.4977372029976,5.981053323401113
4,red,3,19 20 22,141.1237074040211,147.42276534255961,6.29905793853851
5,red,3,38 40 41,178.37740777609997,184.8744678483875,6.497060072287525
6,red,3,59 61 62,216.1695385082637,221.43070555469336,5.261167046429648
7,red,3,67 68 70,231.25018870049917,236.52422966581622,5.274040965317056
8,red,3,68 70 71,231.98723525318024,237.7698204809252,5.78258522774496
9,red,3,70 71 74,236.52422966581622,242.8232719342226,6.299042268406367
10,red,3,103 106 107,291.8462913290674,297.97927706194344,6.132985732876023
11,red,3,114 116 117,310.10946314670184,313.9852857311589,3.875822584457069
12,red,3,116 117 119,312.4278011806009,317.73480594237014,5.307004761769235
13,red,3,117 118 119,313.9852857311589,317.73480594237014,3.749520211211234
14,red,3,119 122 123,317.73480594237014,323.466969557512,5.732163615141872
15,red,3,121 123 125,321.1601343091136,327.44390126190547,6.283766952791893
16,red,3,122 123 125,322.14455867248296,327.44390126190547,5.299342589422508
17,red,3,123 125 127,323.466969557512,329.9532397282338,6.486270170721809
18,red,3,125 127 128,327.44390126190547,331.47446758266346,4.030566320757998
19,red,3,125 127 129,327.44390126190547,333.6453785248699,6.201477262964431
20,red,3,142 143 145,353.48890048871885,357.95268510163226,4.4637846129134005
1,blue,4,111 112 114 115,304.86437134085725,311.165141530356,6.300770189498735
2,blue,4,111 113 114 115,304.86437134085725,311.165141530356,6.300770189498735
3,blue,4,126 128 129 130,329.03307168048093,334.2113548332444,5.17828315276347
4,blue,4,129 130 131 133,333.6453785248699,339.8582167253635,6.212838200493593
5,blue,4,131 133 134 135,336.84185042839067,342.05487751036355,5.213027081972882
6,blue,4,146 148 149 150,359.7437549531145,366.2127102883313,6.468955335216833
7,blue,4,149 151 152 153,364.736024114089,370.050919212106,5.314895098017018
8,blue,3,13 14 16,129.57870419995606,134.75650975337385,5.177805553417784
9,blue,3,13 15 16,129.57870419995606,134.75650975337385,5.177805553417784
10,blue,3,15 16 18,133.4977372029976,139.7362089521214,6.238471749123789
11,blue,3,15 17 18,133.4977372029976,139.7362089521214,6.238471749123789
12,blue,3,18 19 21,139.7362089521214,146.0009824867655,6.264773534644121
13,blue,3,18 20 21,139.7362089521214,146.0009824867655,6.264773534644121
14,blue,3,21 22 24,146.0009824867655,150.92525761224147,4.924275125475958
15,blue,3,22 23 24,147.42276534255961,150.92525761224147,3.502492269681852
16,blue,3,26 27 29,156.11290929423785,161.18896413759603,5.076054843358179
17,blue,3,29 30 31,161.18896413759603,165.53706918790044,4.348105050304412
18,blue,3,29 31 32,161.18896413759603,167.1844399781745,5.995475840578479
19,blue,3,32 33 34,167.1844399781745,169.9119764794117,2.727536501237182
20,blue,3,34 36 37,169.9119764794117,176.44143429771043,6.529457818298738
1,green,9,0 1 2 3 4 5 6 7 8,101.3178510057314,118.79078286597621,17.472931860244813
2,green,9,164 165 166 167 168 169 170 171 172,387.22289022238795,399.98511987619486,12.762229653806912
3,green,5,5 6 7 8 9,111.87465917699262,121.37012500242065,9.495465825428028
4,green,5,6 7 8 9 10,114.32022091545272,122.94682929355258,8.62660837809986
5,green,5,7 8 9 10 11,116.22668032085755,124.25681855434576,8.030138233488202
6,green,5,157 158 159 160 161,376.32409223066804,383.4435294495365,7.119437218868484
7,green,5,158 159 160 161 162,378.43668024996543,384.95611681486366,6.519436564898228
8,green,5,159 160 161 162 163,379.87297534653237,385.86130084597426,5.988325499441885
9,green,5,160 161 162 163 164,381.4844686171865,387.22289022238795,5.738421605201438
10,green,5,161 162 163 164 165,383.4435294495365,388.8461283542323,5.402598904695765
11,green,5,162 163 164 165 166,384.95611681486366,391.456083563638,6.499966748774341
12,green,5,163 164 165 166 167,385.86130084597426,392.24508333951906,6.3837824935448
13,green,4,156 158 159 160,375.8259127667393,381.4844686171865,5.658555850447215
14,green,3,8 9 12,118.79078286597621,127.51668387959648,8.725901013620273
15,green,3,155 158 159,373.8648739109086,379.87297534653237,6.008101435623757
16,green,2,154 159,373.0619283721128,379.87297534653237,6.8110469744195825
17,green,1,13,129.57870419995606,129.57870419995606,0.0
18,green,1,14,131.08768853093267,131.08768853093267,0.0
19,green,1,15,133.4977372029976,133.4977372029976,0.0
20,green,1,16,134.75650975337385,134.75650975337385,0.0
1,violet,2,9 13,121.37012500242065,129.57870419995606,8.208579197535414
2,violet,2,10 14,122.94682929355258,131.08768853093267,8.140859237380084
3,violet,2,11 14,124.25681855434576,131.08768853093267,6.830869976586911
4,violet,2,12 16,127.51668387959648,134.75650975337385,7.239825873777363
5,violet,2,13 17,129.57870419995606,138.11604205453347,8.537337854577402
6,violet,2,14 17,131.08768853093267,138.11604205453347,7.028353523600799
7,violet,2,14 18,131.08768853093267,139.7362089521214,8.64852042118872
8,violet,2,15 19,133.4977372029976,141.1237074040211,7.625970201023506
9,violet,2,16 20,134.75650975337385,143.11184580762063,8.355336054246777
10,violet,2,17 21,138.11604205453347,146.0009824867655,7.884940432232042
11,violet,2,18 22,139.7362089521214,147.42276534255961,7.686556390438227
12,violet,2,19 23,141.1237074040211,150.05352042078488,8.929813016763774
13,violet,2,20 23,143.11184580762063,150.05352042078488,6.941674613164253
