u,v,t_u,t_v,distance,score_diff,score_mean,color,color_reason
0,1,101.3178510057314,103.72553804047834,2.4076870347469423,0.4444765467833802,4.856918882079421,green,boundary-road
0,2,101.3178510057314,105.44662305232609,4.12877204659469,0.22644653243979906,4.965933889251211,green,boundary-road
0,3,101.3178510057314,107.16861118427641,5.850760178545016,0.6764528390127946,4.740930735964714,green,boundary-road
0,4,101.3178510057314,111.02953554316969,9.711684537438288,0.594644521529319,4.781834894706451,green,boundary-road
0,5,101.3178510057314,111.87465917699262,10.556808171261224,0.12807802222830933,5.015118144356956,green,boundary-road
0,6,101.3178510057314,114.32022091545272,13.002369909721324,0.1276359895670529,5.015339160687585,green,boundary-road
0,7,101.3178510057314,116.22668032085755,14.908829315126155,0.5134444970742997,4.822434906933961,green,boundary-road
0,8,101.3178510057314,118.79078286597621,17.472931860244813,0.16187342196568455,4.998220444488268,green,boundary-road
1,2,103.72553804047834,105.44662305232609,1.721085011847748,0.21803001434358116,4.743695615859521,green,boundary-road
1,3,103.72553804047834,107.16861118427641,3.443073143798074,0.2319762922294144,4.518692462573023,green,boundary-road
1,4,103.72553804047834,111.02953554316969,7.303997502691345,0.1501679747459388,4.559596621314761,green,boundary-road
1,5,103.72553804047834,111.87465917699262,8.149121136514282,0.3163985245550709,4.792879870965266,green,boundary-road
1,6,103.72553804047834,114.32022091545272,10.594682874974382,0.3168405572163273,4.7931008872958945,green,boundary-road
1,7,103.72553804047834,116.22668032085755,12.501142280379213,0.06896795029091951,4.6001966335422715,green,boundary-road
1,8,103.72553804047834,118.79078286597621,15.06524482549787,0.2826031248176957,4.775982171096579,green,boundary-road
2,3,105.44662305232609,107.16861118427641,1.7219881319503259,0.45000630657299556,4.627707469744815,green,boundary-road
2,4,105.44662305232609,111.02953554316969,5.582912490843597,0.36819798908951995,4.668611628486552,green,boundary-road
2,5,105.44662305232609,111.87465917699262,6.428036124666534,0.09836851021148973,4.901894878137057,green,boundary-road
2,6,105.44662305232609,114.32022091545272,8.873597863126633,0.09881054287274615,4.902115894467685,green,boundary-road
2,7,105.44662305232609,116.22668032085755,10.780057268531465,0.28699796463450067,4.709211640714061,green,boundary-road
2,8,105.44662305232609,118.79078286597621,13.344159813650123,0.06457311047411451,4.884997178268369,green,boundary-road
3,4,107.16861118427641,111.02953554316969,3.8609243588932713,0.08180831748347561,4.443608475200055,green,boundary-road
3,5,107.16861118427641,111.87465917699262,4.706047992716208,0.5483748167844853,4.6768917248505595,green,boundary-road
3,6,107.16861118427641,114.32022091545272,7.151609731176308,0.5488168494457417,4.677112741181187,green,boundary-road
3,7,107.16861118427641,116.22668032085755,9.058069136581139,0.1630083419384949,4.484208487427564,green,boundary-road
3,8,107.16861118427641,118.79078286597621,11.622171681699797,0.5145794170471101,4.659994024981872,green,boundary-road
4,5,111.02953554316969,111.87465917699262,0.8451236338229364,0.4665664993010097,4.717795883592297,green,boundary-road
4,6,111.02953554316969,114.32022091545272,3.2906853722830363,0.4670085319622661,4.718016899922925,green,boundary-road
4,7,111.02953554316969,116.22668032085755,5.197144777687868,0.08120002445501928,4.525112646169301,green,boundary-road
4,8,111.02953554316969,118.79078286597621,7.7612473228065255,0.43277109956363446,4.700898183723609,green,boundary-road
5,6,111.87465917699262,114.32022091545272,2.4455617384601,0.0004420326612564196,4.95130014957343,green,boundary-road
5,7,111.87465917699262,116.22668032085755,4.352021143864931,0.3853664748459904,4.758395895819806,green,boundary-road
5,8,111.87465917699262,118.79078286597621,6.916123688983589,0.03379539973737522,4.934181433374114,green,boundary-road
5,9,111.87465917699262,121.37012500242065,9.495465825428028,0.3623225915514574,4.769917837467073,green,boundary-road
6,7,114.32022091545272,116.22668032085755,1.9064594054048314,0.3858085075072468,4.758616912150435,green,boundary-road
6,8,114.32022091545272,118.79078286597621,4.470561950523489,0.03423743239863164,4.934402449704742,green,boundary-road
6,9,114.32022091545272,121.37012500242065,7.049904086967928,0.3627646242127138,4.770138853797701,green,boundary-road
