rank,color,size,node_indices,t_min,t_max,diameter_t,t_values
1,red,4,118 120 121 122,351.8786490253593,357.95268510163226,6.074036076272932,351.878649025359 356.017574977265 357.151302252040 357.952685101632
2,red,4,120 121 122 124,356.017574977265,361.2893616958047,5.271786718539715,356.017574977265 357.151302252040 357.952685101632 361.289361695805
3,red,4,168 169 171 172,428.12791407661666,433.8892184809272,5.761304404310522,428.127914076617 430.328745430939 432.138641734589 433.889218480927
4,red,4,169 171 172 173,430.3287454309386,436.161006432647,5.832261001708389,430.328745430939 432.138641734589 433.889218480927 436.161006432647
5,red,3,12 14 15,173.41153651959155,178.37740777609997,4.9658712565084215,173.411536519592 176.441434297710 178.377407776100
6,red,3,16 18 19,179.91648402025697,185.5987836777075,5.682299657450528,179.916484020257 184.874467848387 185.598783677708
7,red,3,22 24 26,192.0266563607138,198.0153096762519,5.988653315538102,192.026656360714 195.265396679529 198.015309676252
8,red,3,44 46 47,231.25018870049917,236.52422966581622,5.274040965317056,231.250188700499 233.693404178908 236.524229665816
9,red,3,57 59 60,253.06998674799945,258.61043949153134,5.540452743531887,253.069986747999 256.380713694434 258.610439491531
10,red,3,65 66 67,266.614973781501,269.9704490239976,3.3554752424965955,266.614973781501 267.921915082824 269.970449023998
11,red,3,70 71 73,275.58749264934386,279.22925092774517,3.641758278401312,275.587492649344 276.452049503133 279.229250927745
12,red,3,71 73 74,276.4520495031329,282.465114765052,6.01306526191911,276.452049503133 279.229250927745 282.465114765052
13,red,3,85 87 88,299.84032605372136,304.86437134085725,5.024045287135891,299.840326053721 302.696749589607 304.864371340857
14,red,3,96 99 100,317.73480594237014,323.466969557512,5.732163615141872,317.734805942370 322.144558672483 323.466969557512
15,red,3,97 98 101,318.85310425631656,324.8628660517396,6.00976179542306,318.853104256317 321.160134309114 324.862866051740
16,red,3,108 109 110,336.84185042839067,339.8582167253635,3.0163662969728193,336.841850428391 338.339992850807 339.858216725363
17,red,3,108 110 112,336.84185042839067,342.05487751036355,5.213027081972882,336.841850428391 339.858216725363 342.054877510364
18,red,3,110 112 113,339.8582167253635,344.6617029402523,4.803486214888835,339.858216725363 342.054877510364 344.661702940252
19,red,3,112 113 115,342.05487751036355,347.2726775844204,5.217800074056868,342.054877510364 344.661702940252 347.272677584420
20,red,3,117 118 120,350.40841934919206,356.017574977265,5.6091556280729264,350.408419349192 351.878649025359 356.017574977265
1,blue,4,0 1 2 180,150.05352042078488,446.8606226964296,296.8071022756447,150.053520420785 150.925257612241 153.024693811199 446.860622696430
2,blue,4,0 2 180 181,150.05352042078488,447.44170419449324,297.38818377370836,150.053520420785 153.024693811199 446.860622696430 447.441704194493
3,blue,4,0 179 180 182,150.05352042078488,449.14854568502335,299.0950252642385,150.053520420785 444.319336277559 446.860622696430 449.148545685023
4,blue,4,37 38 39 40,219.06759634902136,224.00700025460435,4.939403905582992,219.067596349021 220.714918839314 221.430705554693 224.007000254604
