rank,color,size,node_indices,t_min,t_max,diameter_t
1,red,4,118 120 121 122,351.8786490253593,357.95268510163226,6.074036076272932
2,red,4,120 121 122 124,356.017574977265,361.2893616958047,5.271786718539715
3,red,3,12 14 15,173.41153651959155,178.37740777609997,4.9658712565084215
4,red,3,16 18 19,179.91648402025697,185.5987836777075,5.682299657450528
5,red,3,20 21 23,187.22892258350186,193.0797266038457,5.850804020343844
6,red,3,22 24 26,192.0266563607138,198.0153096762519,5.988653315538102
7,red,3,44 46 47,231.25018870049917,236.52422966581622,5.274040965317056
8,red,3,57 59 60,253.06998674799945,258.61043949153134,5.540452743531887
9,red,3,65 66 67,266.614973781501,269.9704490239976,3.3554752424965955
10,red,3,70 71 73,275.58749264934386,279.22925092774517,3.641758278401312
11,red,3,71 73 74,276.4520495031329,282.465114765052,6.01306526191911
12,red,3,85 87 88,299.84032605372136,304.86437134085725,5.024045287135891
13,red,3,96 99 100,317.73480594237014,323.466969557512,5.732163615141872
14,red,3,97 98 101,318.85310425631656,324.8628660517396,6.00976179542306
15,red,3,108 110 112,336.84185042839067,342.05487751036355,5.213027081972882
16,red,3,109 110 113,338.33999285080665,344.6617029402523,6.3217100894456735
17,red,3,110 112 113,339.8582167253635,344.6617029402523,4.803486214888835
18,red,3,112 113 115,342.05487751036355,347.2726775844204,5.217800074056868
19,red,3,117 118 120,350.40841934919206,356.017574977265,5.6091556280729264
20,red,3,122 124 125,357.95268510163226,363.33133057897385,5.378645477341593
1,blue,4,37 38 39 40,219.06759634902136,224.00700025460435,4.939403905582992
2,blue,4,37 38 39 41,219.06759634902136,224.98332466958226,5.915728320560902
3,blue,4,48 49 50 52,237.7698204809252,244.07089849707813,6.301078016152928
4,blue,4,58 60 61 62,255.30625645491403,260.80508450459683,5.4988280496828
5,blue,4,60 61 62 63,258.61043949153134,263.57389390487015,4.963454413338809
6,blue,4,61 62 63 64,259.87440698967805,265.55785183887633,5.683444849198281
7,blue,4,62 63 64 65,260.80508450459683,266.614973781501,5.809889276904187
8,blue,4,91 92 93 94,310.10946314670184,313.9852857311589,3.875822584457069
9,blue,4,94 95 96 97,313.9852857311589,318.85310425631656,4.867818525157645
10,blue,3,11 12 13,169.9119764794117,174.7541915233657,4.842215043954013
11,blue,3,13 14 16,174.7541915233657,179.91648402025697,5.1622924968912685
12,blue,3,13 15 16,174.7541915233657,179.91648402025697,5.1622924968912685
13,blue,3,15 16 17,178.37740777609997,182.2070784843665,3.8296707082665193
14,blue,3,22 23 25,192.0266563607138,196.87648184095832,4.849825480244533
15,blue,3,23 24 25,193.0797266038457,196.87648184095832,3.7967552371126203
16,blue,3,24 25 27,195.26539667952926,201.2647519437038,5.99935526417454
17,blue,3,25 26 27,196.87648184095832,201.2647519437038,4.38827010274548
18,blue,3,25 27 28,196.87648184095832,202.4935945141405,5.617112673182191
19,blue,3,29 30 32,204.18967180310455,209.57650971685626,5.3868379137517195
20,blue,3,30 32 33,205.3946972021633,211.69086259536533,6.296165393202045
1,green,9,0 1 2 3 4 5 6 7 8,150.05352042078488,165.53706918790044,15.483548767115565
2,green,9,141 142 143 144 145 146 147 148 149,387.22289022238795,399.98511987619486,12.762229653806912
3,green,5,5 6 7 8 9,158.84998817142048,167.1844399781745,8.334451806754032
4,green,5,6 7 8 9 10,161.18896413759603,169.09451541556882,7.905551277972791
5,green,5,7 8 9 10 11,163.03070968718197,169.9119764794117,6.881266792229724
6,green,5,136 137 138 139 140,379.87297534653237,385.86130084597426,5.988325499441885
7,green,5,137 138 139 140 141,381.4844686171865,387.22289022238795,5.738421605201438
8,green,5,138 139 140 141 142,383.4435294495365,388.8461283542323,5.402598904695765
9,green,5,139 140 141 142 143,384.95611681486366,391.456083563638,6.499966748774341
10,green,5,140 141 142 143 144,385.86130084597426,392.24508333951906,6.3837824935448
11,green,3,135 138 139,378.43668024996543,384.95611681486366,6.519436564898228
12,green,2,8 12,165.53706918790044,173.41153651959155,7.874467331691108
13,green,1,13,174.7541915233657,174.7541915233657,0.0
14,green,1,14,176.44143429771043,176.44143429771043,0.0
15,green,1,15,178.37740777609997,178.37740777609997,0.0
16,green,1,16,179.91648402025697,179.91648402025697,0.0
17,green,1,17,182.2070784843665,182.2070784843665,0.0
18,green,1,18,184.8744678483875,184.8744678483875,0.0
19,green,1,19,185.5987836777075,185.5987836777075,0.0
20,green,1,20,187.22892258350186,187.22892258350186,0.0
1,violet,2,9 13,167.1844399781745,174.7541915233657,7.569751545191195
2,violet,2,10 14,169.09451541556882,176.44143429771043,7.346918882141608
3,violet,2,11 14,169.9119764794117,176.44143429771043,6.529457818298738
4,violet,2,12 16,173.41153651959155,179.91648402025697,6.504947500665423
5,violet,2,13 17,174.7541915233657,182.2070784843665,7.452886961000786
6,violet,2,14 18,176.44143429771043,184.8744678483875,8.433033550677067
7,violet,2,15 18,178.37740777609997,184.8744678483875,6.497060072287525
8,violet,2,16 20,179.91648402025697,187.22892258350186,7.312438563244882
9,violet,2,17 21,182.2070784843665,189.41615865601693,7.209080171650442
10,violet,2,18 22,184.8744678483875,192.0266563607138,7.1521885123262905
11,violet,2,18 23,184.8744678483875,193.0797266038457,8.205258755458203
12,violet,2,19 23,185.5987836777075,193.0797266038457,7.480942926138198
13,violet,2,20 24,187.22892258350186,195.26539667952926,8.036474096027405
14,violet,2,23 27,193.0797266038457,201.2647519437038,8.1850253398581
15,violet,2,24 28,195.26539667952926,202.4935945141405,7.228197834611251
16,violet,2,25 29,196.87648184095832,204.18967180310455,7.313189962146225
17,violet,2,26 30,198.0153096762519,205.3946972021633,7.3793875259113975
18,violet,2,28 32,202.4935945141405,209.57650971685626,7.082915202715753
19,violet,2,29 33,204.18967180310455,211.69086259536533,7.501190792260786
20,violet,2,30 34,205.3946972021633,213.34791935971265,7.953222157549362
