step,loss
0,93588.8828125
1,93591.9921875
2,93598.8984375
3,93606.59375
4,93615.59375
5,93644.546875
6,93657.8671875
7,93667.1875
8,93674.6953125
9,93683.5
10,93705.7578125
11,93723.703125
12,93740.6171875
13,93755.7734375
14,93773.515625
15,93792.2890625
16,93813.921875
17,93828.890625
18,93855.765625
19,93878.0
20,93894.703125
21,93919.1796875
22,93947.1328125
23,93966.53125
24,93994.5625
25,94021.9609375
26,94047.796875
27,94075.2421875
28,94105.546875
29,94134.0625
30,94163.9375
31,94189.1796875
32,94223.9609375
33,94249.5
34,94281.421875
35,94309.203125
36,94337.953125
37,94368.2734375
38,94397.8046875
39,94421.171875
40,94452.625
41,94478.3984375
42,94504.890625
43,94534.3125
44,94559.5390625
45,94584.4609375
46,94611.5859375
47,94633.109375
48,94659.046875
49,94681.6875
50,94704.4296875
51,94727.125
52,94746.078125
53,94772.3671875
54,94789.140625
55,94809.15625
56,94829.328125
57,94845.1640625
58,94868.6875
59,94883.1953125
60,94903.09375
61,94920.9453125
62,94935.984375
63,94956.890625
64,94971.703125
65,94989.5234375
66,95006.6171875
67,95020.7734375
68,95042.09375
69,95057.7578125
70,95076.78125
71,95093.421875
72,95108.375
73,95126.90625
74,95146.0234375
75,95160.28125
76,95181.578125
77,95196.3046875
78,95217.828125
79,95232.8828125
80,95247.125
81,95266.1875
82,95280.46875
83,95299.6796875
84,95313.7265625
85,95330.8671875
86,95344.796875
87,95360.875
88,95375.5
89,95389.46875
90,95403.7578125
91,95417.046875
92,95431.125
93,95444.9609375
94,95458.9765625
95,95473.5703125
96,95486.625
97,95500.09375
98,95514.4296875
99,95527.671875
100,95540.1796875
101,95553.640625
102,95569.6953125
103,95581.0546875
104,95594.1640625
105,95605.0
106,95627.375
107,95639.359375
108,95654.6171875
109,95667.5546875
110,95679.0234375
111,95688.8203125
112,95700.171875
113,95711.9453125
114,95723.328125
115,95734.953125
116,95746.6171875
117,95759.5625
118,95770.015625
119,95781.8984375
120,95794.2890625
121,95804.5078125
122,95816.8046875
123,95829.0546875
124,95840.546875
125,95850.515625
126,95862.09375
127,95874.46875
128,95883.875
129,95895.9609375
130,95905.5625
131,95917.359375
132,95928.765625
133,95939.25
134,95950.1875
135,95960.5625
136,95971.359375
137,95981.40625
138,95991.703125
139,96002.375
140,96012.5390625
141,96022.625
142,96033.4921875
143,96043.6171875
144,96054.0546875
145,96064.671875
146,96074.6796875
147,96084.8046875
148,96096.6171875
149,96106.421875
150,96116.328125
151,96126.609375
152,96137.09375
153,96147.890625
154,96158.78125
155,96169.25
156,96180.65625
157,96191.15625
158,96201.671875
159,96213.4296875
160,96223.5
161,96234.8125
162,96246.46875
163,96257.0390625
164,96268.375
165,96278.96875
166,96288.7890625
167,96298.328125
168,96307.59375
169,96317.5390625
170,96327.28125
171,96335.6875
172,96344.796875
173,96353.625
174,96361.15625
175,96369.0859375
176,96376.453125
177,96386.953125
178,96395.0703125
179,96404.3984375
180,96411.96875
181,96421.1953125
182,96429.7890625
183,96435.5234375
184,96442.9453125
185,96450.9296875
186,96459.890625
187,96465.953125
188,96473.1875
189,96480.1171875
190,96488.2734375
191,96495.125
192,96501.796875
193,96508.5
194,96515.1484375
195,96523.0390625
