t,C(t)
0.000000000000000000e+00,8.918619278119876981e-05
5.025125667452812195e-02,9.284943371312692761e-05
1.005025133490562439e-01,1.038032496580854058e-04
1.507537662982940674e-01,1.219649275299161673e-04
2.010050266981124878e-01,1.472120784455910325e-04
2.512562870979309082e-01,1.793789560906589031e-04
3.015075325965881348e-01,2.182494645239785314e-04
3.517588078975677490e-01,2.635508717503398657e-04
4.020100533962249756e-01,3.149476542603224516e-04
4.522612988948822021e-01,3.720376698765903711e-04
5.025125741958618164e-01,4.343542386777698994e-04
5.527638196945190430e-01,5.013712216168642044e-04
6.030150651931762695e-01,5.725136143155395985e-04
6.532663106918334961e-01,6.471744272857904434e-04
7.035176157951354980e-01,7.247336325235664845e-04
7.537688612937927246e-01,8.045802824199199677e-04
8.040201067924499512e-01,8.861348032951354980e-04
8.542713522911071777e-01,9.688685531727969646e-04
9.045225977897644043e-01,1.052320119924843311e-03
9.547739028930664062e-01,1.136108650825917721e-03
1.005025148391723633e+00,1.219937461428344250e-03
1.055276393890380859e+00,1.303594559431076050e-03
1.105527639389038086e+00,1.386947580613195896e-03
1.155778884887695312e+00,1.469933777116239071e-03
1.206030130386352539e+00,1.552545814774930477e-03
1.256281375885009766e+00,1.634822459891438484e-03
1.306532621383666992e+00,1.716828788630664349e-03
1.356783986091613770e+00,1.798652228899300098e-03
1.407035231590270996e+00,1.880390802398324013e-03
1.457286477088928223e+00,1.962149282917380333e-03
1.507537722587585449e+00,2.044039312750101089e-03
1.557788968086242676e+00,2.126177074387669563e-03
1.608040213584899902e+00,2.208688762038946152e-03
1.658291459083557129e+00,2.291708718985319138e-03
1.708542704582214355e+00,2.375385491177439690e-03
1.758793950080871582e+00,2.459876472130417824e-03
1.809045195579528809e+00,2.545345807448029518e-03
1.859296441078186035e+00,2.631959039717912674e-03
1.909547805786132812e+00,2.719870768487453461e-03
1.959799051284790039e+00,2.809218131005764008e-03
2.010050296783447266e+00,2.900108695030212402e-03
2.060301542282104492e+00,2.992606256157159805e-03
2.110552787780761719e+00,3.086728742346167564e-03
2.160804033279418945e+00,3.182439133524894714e-03
2.211055278778076172e+00,3.279643366113305092e-03
2.261306524276733398e+00,3.378195688128471375e-03
2.311557769775390625e+00,3.477906342595815659e-03
2.361809015274047852e+00,3.578553209081292152e-03
2.412060260772705078e+00,3.679892513900995255e-03
2.462311506271362305e+00,3.781683044508099556e-03
2.512562751770019531e+00,3.883696394041180611e-03
2.562813997268676758e+00,3.985737916082143784e-03
2.613065242767333984e+00,4.087662789970636368e-03
2.663316488265991211e+00,4.189384635537862778e-03
2.713567972183227539e+00,4.290886688977479935e-03
2.763819217681884766e+00,4.392221570014953613e-03
2.814070463180541992e+00,4.493516869843006134e-03
2.864321708679199219e+00,4.594959784299135208e-03
2.914572954177856445e+00,4.696793388575315475e-03
2.964824199676513672e+00,4.799302667379379272e-03
3.015075445175170898e+00,4.902791231870651245e-03
3.065326690673828125e+00,5.007570609450340271e-03
3.115577936172485352e+00,5.113937892019748688e-03
3.165829181671142578e+00,5.222153849899768829e-03
3.216080427169799805e+00,5.332431755959987640e-03
3.266331672668457031e+00,5.444920621812343597e-03
3.316582918167114258e+00,5.559697281569242477e-03
3.366834163665771484e+00,5.676758941262960434e-03
3.417085409164428711e+00,5.796022247523069382e-03
3.467336654663085938e+00,5.917328409850597382e-03
3.517587900161743164e+00,6.040446925908327103e-03
3.567839145660400391e+00,6.165091414004564285e-03
3.618090391159057617e+00,6.290933582931756973e-03
3.668341636657714844e+00,6.417616736143827438e-03
3.718592882156372070e+00,6.544766947627067566e-03
3.768844366073608398e+00,6.672024726867675781e-03
3.819095611572265625e+00,6.799034308642148972e-03
3.869346857070922852e+00,6.925481837242841721e-03
3.919598102569580078e+00,7.051081862300634384e-03
3.969849348068237305e+00,7.175597362220287323e-03
4.020100593566894531e+00,7.298834156244993210e-03
4.070351600646972656e+00,7.420639973133802414e-03
4.120603084564208984e+00,7.540904451161623001e-03
4.170854091644287109e+00,7.659554481506347656e-03
4.221105575561523438e+00,7.776542566716670990e-03
4.271356582641601562e+00,7.891842164099216461e-03
4.321608066558837891e+00,8.005441166460514069e-03
4.371859550476074219e+00,8.117326535284519196e-03
4.422110557556152344e+00,8.227486163377761841e-03
4.472362041473388672e+00,8.335891179740428925e-03
4.522613048553466797e+00,8.442501537501811981e-03
4.572864532470703125e+00,8.547251112759113312e-03
4.623115539550781250e+00,8.650051429867744446e-03
4.673367023468017578e+00,8.750793524086475372e-03
4.723618030548095703e+00,8.849333971738815308e-03
4.773869514465332031e+00,8.945537731051445007e-03
4.824120521545410156e+00,9.039247408509254456e-03
4.874372005462646484e+00,9.130316786468029022e-03
4.924623012542724609e+00,9.218617342412471771e-03
4.974874496459960938e+00,9.304059669375419617e-03
5.025125503540039062e+00,9.386596269905567169e-03
5.075376987457275391e+00,9.466253221035003662e-03
5.125627994537353516e+00,9.543110616505146027e-03
5.175879478454589844e+00,9.617335163056850433e-03
5.226130485534667969e+00,9.689176455140113831e-03
5.276381969451904297e+00,9.758952073752880096e-03
5.326632976531982422e+00,9.827041067183017731e-03
5.376884460449218750e+00,9.893887676298618317e-03
5.427135467529296875e+00,9.959950111806392670e-03
5.477386951446533203e+00,1.002570893615484238e-02
5.527637958526611328e+00,1.009162515401840210e-02
5.577889442443847656e+00,1.015813089907169342e-02
5.628140449523925781e+00,1.022559590637683868e-02
5.678391933441162109e+00,1.029432471841573715e-02
5.728643417358398438e+00,1.036453247070312500e-02
5.778894424438476562e+00,1.043634209781885147e-02
5.829145908355712891e+00,1.050977502018213272e-02
5.879396915435791016e+00,1.058475766330957413e-02
5.929648399353027344e+00,1.066113356500864029e-02
5.979899406433105469e+00,1.073866337537765503e-02
6.030150890350341797e+00,1.081704813987016678e-02
6.080401897430419922e+00,1.089594978839159012e-02
6.130653381347656250e+00,1.097501069307327271e-02
6.180904388427734375e+00,1.105386391282081604e-02
6.231155872344970703e+00,1.113216858357191086e-02
6.281406879425048828e+00,1.120962202548980713e-02
6.331658363342285156e+00,1.128599233925342560e-02
6.381909370422363281e+00,1.136111654341220856e-02
6.432160854339599609e+00,1.143491733819246292e-02
6.482411861419677734e+00,1.150741614401340485e-02
6.532663345336914062e+00,1.157872471958398819e-02
6.582914352416992188e+00,1.164906192570924759e-02
6.633165836334228516e+00,1.171871460974216461e-02
6.683416843414306641e+00,1.178804133087396622e-02
6.733668327331542969e+00,1.185745093971490860e-02
6.783919334411621094e+00,1.192736811935901642e-02
6.834170818328857422e+00,1.199823804199695587e-02
6.884422302246093750e+00,1.207046303898096085e-02
6.934673309326171875e+00,1.214442402124404907e-02
6.984924793243408203e+00,1.222042087465524673e-02
7.035175800323486328e+00,1.229868363589048386e-02
7.085427284240722656e+00,1.237936317920684814e-02
7.135678291320800781e+00,1.246251724660396576e-02
7.185929775238037109e+00,1.254813279956579208e-02
