rank,eigenvalue
1,101.32179260253906
2,103.69050598144531
3,105.45106506347656
4,107.26963806152344
5,110.8864974975586
6,111.949951171875
7,114.29984283447266
8,116.26188659667969
9,118.79367065429688
10,121.32026672363281
11,122.93794250488281
12,124.35517120361328
13,127.46185302734375
14,129.55078125
15,131.13131713867188
16,133.44789123535156
17,134.85699462890625
18,138.0321044921875
19,139.72154235839844
20,141.1577606201172
21,143.15707397460938
22,145.9317626953125
23,147.4739227294922
24,149.96583557128906
25,150.98890686035156
26,153.074462890625
27,156.0310821533203
28,157.58058166503906
29,158.90321350097656
30,161.1647491455078
31,163.05857849121094
32,165.49237060546875
33,167.18865966796875
34,169.03973388671875
35,170.03936767578125
36,173.30465698242188
37,174.7640838623047
38,176.45175170898438
39,178.3595733642578
40,179.95428466796875
41,182.22073364257812
42,184.77210998535156
43,185.64610290527344
44,187.26515197753906
45,189.43710327148438
46,191.95016479492188
47,193.13380432128906
48,195.24183654785156
49,196.85836791992188
50,198.07937622070312
51,200.71026611328125
52,203.64207458496094
53,204.3788604736328
54,206.5214080810547
55,208.4910888671875
56,210.18992614746094
57,211.7889862060547
58,214.61521911621094
59,216.9854736328125
60,217.68443298339844
61,220.42149353027344
62,221.47845458984375
63,224.639892578125
64,228.04745483398438
65,229.4204559326172
66,229.96507263183594
67,231.87832641601562
68,234.37155151367188
69,236.21705627441406
70,237.577880859375
71,238.64283752441406
72,240.02383422851562
73,242.20767211914062
74,243.68521118164062
75,245.38265991210938
76,247.4419708251953
77,248.53553771972656
78,249.4777069091797
79,252.57923889160156
80,254.56234741210938
81,256.3709716796875
82,259.0760498046875
83,260.2783508300781
84,260.6210021972656
85,263.2887268066406
86,267.084716796875
87,269.2252197265625
88,270.3852844238281
89,270.8968811035156
90,272.8017578125
91,276.2480163574219
92,276.8551940917969
93,279.0207214355469
94,279.6077880859375
95,282.69000244140625
96,285.0182189941406
97,285.2201843261719
98,286.5415954589844
99,287.68096923828125
100,289.59783935546875
101,289.75787353515625
102,291.8803405761719
103,294.17169189453125
104,297.1295166015625
105,297.85205078125
106,299.6438903808594
107,301.2386169433594
108,302.38140869140625
109,303.33135986328125
110,305.956298828125
111,307.3480224609375
112,310.96136474609375
113,311.7061767578125
114,313.208251953125
115,314.95703125
116,316.7369384765625
117,317.9310607910156
118,318.8133850097656
119,321.1156311035156
120,322.8388671875
121,324.528076171875
122,328.00225830078125
123,328.6712646484375
124,329.1162109375
125,329.7375183105469
126,331.5186767578125
127,334.1703796386719
128,335.0831298828125
129,336.1672668457031
130,338.1672058105469
131,339.53662109375
132,341.85760498046875
133,342.24847412109375
