t,C(t)
0.000000000000000000e+00,1.239134144270792603e-05
5.025125667452812195e-02,2.120003998279571533e-01
1.005025133490562439e-01,6.647229790687561035e-01
1.507537662982940674e-01,9.304099678993225098e-01
2.010050266981124878e-01,1.022457957267761230e+00
2.512562870979309082e-01,1.071146965026855469e+00
3.015075325965881348e-01,1.102080583572387695e+00
3.517588078975677490e-01,1.139174342155456543e+00
4.020100533962249756e-01,1.167199373245239258e+00
4.522612988948822021e-01,1.190024375915527344e+00
5.025125741958618164e-01,1.211903333663940430e+00
5.527638196945190430e-01,1.229342341423034668e+00
6.030150651931762695e-01,1.239853143692016602e+00
6.532663106918334961e-01,1.245236396789550781e+00
7.035176157951354980e-01,1.258381128311157227e+00
7.537688612937927246e-01,1.277285456657409668e+00
8.040201067924499512e-01,1.284884929656982422e+00
8.542713522911071777e-01,1.292389631271362305e+00
9.045225977897644043e-01,1.296792745590209961e+00
9.547739028930664062e-01,1.300553798675537109e+00
1.005025148391723633e+00,1.313494920730590820e+00
1.055276393890380859e+00,1.309489846229553223e+00
1.105527639389038086e+00,1.309404969215393066e+00
1.155778884887695312e+00,1.312216043472290039e+00
1.206030130386352539e+00,1.311839222908020020e+00
1.256281375885009766e+00,1.315981388092041016e+00
1.306532621383666992e+00,1.319968342781066895e+00
1.356783986091613770e+00,1.327488780021667480e+00
1.407035231590270996e+00,1.336014628410339355e+00
1.457286477088928223e+00,1.329306721687316895e+00
1.507537722587585449e+00,1.327668547630310059e+00
1.557788968086242676e+00,1.325160384178161621e+00
1.608040213584899902e+00,1.323354482650756836e+00
1.658291459083557129e+00,1.327181220054626465e+00
1.708542704582214355e+00,1.319769501686096191e+00
1.758793950080871582e+00,1.326559543609619141e+00
1.809045195579528809e+00,1.323786973953247070e+00
1.859296441078186035e+00,1.322770714759826660e+00
1.909547805786132812e+00,1.329629421234130859e+00
1.959799051284790039e+00,1.327028989791870117e+00
2.010050296783447266e+00,1.322978734970092773e+00
2.060301542282104492e+00,1.329226613044738770e+00
2.110552787780761719e+00,1.331166267395019531e+00
2.160804033279418945e+00,1.321540594100952148e+00
2.211055278778076172e+00,1.326640367507934570e+00
2.261306524276733398e+00,1.326539874076843262e+00
2.311557769775390625e+00,1.325509905815124512e+00
2.361809015274047852e+00,1.334523081779479980e+00
2.412060260772705078e+00,1.326352715492248535e+00
2.462311506271362305e+00,1.325570821762084961e+00
2.512562751770019531e+00,1.327215194702148438e+00
2.562813997268676758e+00,1.322121143341064453e+00
2.613065242767333984e+00,1.318749904632568359e+00
2.663316488265991211e+00,1.315375924110412598e+00
2.713567972183227539e+00,1.320025682449340820e+00
2.763819217681884766e+00,1.324131608009338379e+00
2.814070463180541992e+00,1.328093171119689941e+00
2.864321708679199219e+00,1.324388742446899414e+00
2.914572954177856445e+00,1.323146939277648926e+00
2.964824199676513672e+00,1.319779634475708008e+00
3.015075445175170898e+00,1.313424825668334961e+00
3.065326690673828125e+00,1.317876696586608887e+00
3.115577936172485352e+00,1.316704034805297852e+00
3.165829181671142578e+00,1.325604200363159180e+00
3.216080427169799805e+00,1.323189020156860352e+00
3.266331672668457031e+00,1.321696162223815918e+00
3.316582918167114258e+00,1.317245125770568848e+00
3.366834163665771484e+00,1.315970182418823242e+00
3.417085409164428711e+00,1.317655086517333984e+00
3.467336654663085938e+00,1.322520256042480469e+00
3.517587900161743164e+00,1.322138071060180664e+00
3.567839145660400391e+00,1.326195597648620605e+00
3.618090391159057617e+00,1.321284174919128418e+00
3.668341636657714844e+00,1.318830370903015137e+00
3.718592882156372070e+00,1.310966968536376953e+00
3.768844366073608398e+00,1.317949533462524414e+00
3.819095611572265625e+00,1.322674989700317383e+00
3.869346857070922852e+00,1.319481492042541504e+00
3.919598102569580078e+00,1.320447683334350586e+00
3.969849348068237305e+00,1.320497632026672363e+00
4.020100593566894531e+00,1.317791342735290527e+00
4.070351600646972656e+00,1.320647478103637695e+00
4.120603084564208984e+00,1.320742130279541016e+00
4.170854091644287109e+00,1.326480984687805176e+00
4.221105575561523438e+00,1.331428527832031250e+00
4.271356582641601562e+00,1.320223689079284668e+00
4.321608066558837891e+00,1.322687149047851562e+00
4.371859550476074219e+00,1.327039837837219238e+00
4.422110557556152344e+00,1.325714111328125000e+00
4.472362041473388672e+00,1.330678105354309082e+00
4.522613048553466797e+00,1.335510611534118652e+00
4.572864532470703125e+00,1.329677939414978027e+00
