rank,eigenvalue
1,101.40113067626953
2,104.29804229736328
3,106.45149993896484
4,107.72415924072266
5,111.31736755371094
6,112.23062896728516
7,114.35489654541016
8,116.09518432617188
9,118.86963653564453
10,121.32428741455078
11,122.910400390625
12,124.27429962158203
13,127.39459991455078
14,129.27127075195312
15,130.45443725585938
16,132.50621032714844
17,133.82301330566406
18,137.37319946289062
19,138.96173095703125
20,140.8504638671875
21,143.07972717285156
22,146.13546752929688
23,147.61492919921875
24,150.19363403320312
25,151.36537170410156
26,153.81390380859375
27,156.44085693359375
28,157.66290283203125
29,159.10342407226562
30,161.4361114501953
31,163.46714782714844
32,164.50924682617188
33,166.73728942871094
34,169.52645874023438
35,172.24798583984375
36,173.6147003173828
37,176.1936798095703
38,176.8037109375
39,181.2947540283203
40,183.47125244140625
41,184.04702758789062
42,186.54331970214844
43,187.69866943359375
44,192.14328002929688
45,192.92910766601562
46,195.33079528808594
47,195.76527404785156
48,196.76486206054688
49,198.77313232421875
50,202.0966796875
51,202.2282257080078
52,203.00271606445312
53,206.3420867919922
54,207.10865783691406
55,208.6168212890625
56,211.83602905273438
57,212.2775115966797
58,214.30467224121094
59,216.31607055664062
60,217.6853485107422
61,219.58729553222656
62,221.37356567382812
63,223.54861450195312
64,225.63504028320312
65,226.69940185546875
66,228.29782104492188
67,231.812744140625
68,232.3123321533203
69,234.07420349121094
70,235.4236297607422
71,235.78009033203125
72,238.03945922851562
73,239.17047119140625
74,242.04022216796875
75,243.497314453125
76,244.5860137939453
77,245.96231079101562
78,246.7379150390625
79,247.00392150878906
80,248.245361328125
81,251.0316925048828
82,251.87062072753906
83,252.51385498046875
84,254.42581176757812
85,255.60751342773438
86,257.6704406738281
87,258.1502990722656
88,259.967041015625
89,261.551513671875
90,263.1613464355469
91,263.8539733886719
92,264.67181396484375
93,265.169677734375
94,268.9563293457031
95,270.627685546875
96,271.292236328125
97,271.5499572753906
98,272.61248779296875
99,275.2724304199219
100,275.6231384277344
101,277.69952392578125
102,278.3956298828125
103,280.09222412109375
104,281.4622497558594
105,282.17694091796875
106,284.4557189941406
107,285.9499816894531
108,287.7004089355469
109,288.0106506347656
110,288.4579162597656
111,290.3708801269531
112,290.7861633300781
113,291.6656494140625
114,294.2314453125
115,294.995361328125
116,296.9316101074219
117,298.0546875
118,298.78521728515625
119,300.4217834472656
120,301.2926025390625
121,302.7636413574219
122,304.6018371582031
123,304.92822265625
124,305.81121826171875
125,308.6884460449219
126,309.4063720703125
127,311.44244384765625
128,312.2795104980469
129,314.1734619140625
130,316.131103515625
131,316.9898376464844
132,318.34124755859375
133,319.2001953125
134,319.92669677734375
135,320.21197509765625
136,326.0975036621094
137,326.4055480957031
138,327.5975646972656
139,327.73193359375
140,329.4729919433594
141,333.77740478515625
142,333.803466796875
143,335.7861633300781
144,336.2632751464844
145,337.5355224609375
146,338.5705871582031
147,340.4275207519531
148,342.22406005859375
149,345.6538391113281
150,346.0209045410156
151,346.330078125
152,347.61444091796875
153,348.5418395996094
154,349.5201110839844
155,349.8625183105469
156,354.17822265625
157,355.6694030761719
158,356.4028015136719
159,357.1877136230469
160,360.20355224609375
161,363.1069030761719
162,364.0736083984375
163,365.5780029296875
164,366.6398620605469
165,367.9471130371094
166,369.08746337890625
167,371.84625244140625
168,373.9777526855469
169,374.240234375
170,375.2359313964844
171,376.408935546875
172,377.04730224609375
173,378.11920166015625
174,378.764892578125
175,381.07525634765625
176,381.738037109375
177,383.07177734375
178,384.0765380859375
179,384.3775939941406
180,385.1204528808594
181,386.24615478515625
182,387.3328857421875
183,388.7939147949219
184,390.20758056640625
185,391.9451599121094
186,392.89752197265625
187,393.6954650878906
188,393.94720458984375
189,394.2345275878906
190,395.7213134765625
191,397.196044921875
192,397.8907470703125
193,398.6202087402344
194,399.4165344238281
195,400.80718994140625
196,402.1968078613281
197,402.662353515625
198,403.7296142578125
199,404.1895446777344
200,404.7516174316406
201,405.415283203125
202,406.1058349609375
203,407.0191345214844
204,408.1578063964844
205,408.6298522949219
206,410.08770751953125
207,410.6680603027344
208,410.9896240234375
209,411.1695556640625
210,412.1761474609375
211,413.0074462890625
212,413.185546875
213,413.6291198730469
214,414.3706970214844
215,414.5708312988281
216,415.3968811035156
217,416.0401306152344
218,416.256591796875
219,417.1497497558594
220,417.349853515625
221,417.7666320800781
222,418.1257629394531
223,418.6448669433594
224,419.0629577636719
225,419.3384094238281
226,419.6651611328125
227,419.9309387207031
228,420.85528564453125
229,421.0982360839844
230,421.7445373535156
231,422.1259765625
232,422.5751647949219
233,423.0545654296875
234,423.23040771484375
235,423.9974060058594
236,424.0755310058594
237,424.5175476074219
238,425.1083068847656
239,425.8804931640625
240,426.0607604980469
241,426.477783203125
242,426.7173767089844
243,427.3708801269531
244,427.49462890625
245,428.1290283203125
246,428.4870910644531
247,428.7655944824219
248,429.2063293457031
249,429.650634765625
250,429.6807861328125
251,430.2774963378906
252,430.65277099609375
253,431.1465759277344
254,431.41510009765625
255,432.0849914550781
256,432.45660400390625
257,432.63739013671875
258,432.89337158203125
259,433.08514404296875
260,434.1366882324219
261,434.1604309082031
262,434.5133361816406
263,434.8207702636719
264,435.396484375
265,435.5826110839844
266,435.9546813964844
267,436.27899169921875
268,436.537109375
269,436.7760009765625
270,436.9846496582031
271,437.2641906738281
272,437.7704772949219
273,438.0956115722656
274,438.3502502441406
275,438.5671691894531
276,438.7876281738281
277,439.1680603027344
278,439.5460510253906
279,439.84735107421875
280,440.06243896484375
281,440.6722106933594
282,441.00579833984375
283,441.2483825683594
284,441.5382995605469
285,441.86944580078125
286,442.05120849609375
287,442.3748779296875
288,442.515869140625
289,442.8818664550781
290,443.2369079589844
291,443.87738037109375
292,444.08453369140625
293,444.11468505859375
294,444.6523742675781
295,444.7746276855469
296,445.1011047363281
297,445.1791687011719
298,445.712158203125
299,445.9601745605469
300,446.1893310546875
301,446.48223876953125
302,447.2229309082031
303,447.4447021484375
304,447.8709411621094
305,448.27520751953125
306,448.5556335449219
307,448.9742736816406
308,449.11053466796875
309,449.4748840332031
310,449.5675354003906
311,449.8438720703125
312,450.1446838378906
313,450.2486267089844
314,450.3587951660156
315,450.8019104003906
316,450.9558410644531
317,451.25421142578125
318,451.3013916015625
319,451.4821472167969
320,452.0879211425781
321,452.2762756347656
322,452.5062255859375
323,453.00634765625
324,453.4225158691406
325,453.6572570800781
326,454.3033752441406
327,454.43536376953125
328,454.63836669921875
329,454.88665771484375
330,455.371337890625
331,455.4061279296875
332,455.6399230957031
333,456.035888671875
334,456.3393859863281
335,456.44207763671875
336,456.5627746582031
337,457.2892761230469
338,457.49932861328125
339,457.67340087890625
340,458.0732116699219
341,458.2557067871094
342,458.372314453125
343,458.79364013671875
344,459.0691223144531
345,459.3235778808594
346,459.4085998535156
347,459.5804748535156
348,459.97332763671875
349,460.09185791015625
350,460.1944274902344
351,460.794677734375
352,461.0574645996094
353,461.1639404296875
354,461.28631591796875
355,461.6734313964844
356,461.7673645019531
357,461.9854736328125
358,462.2008056640625
359,462.5140686035156
360,462.6979064941406
361,462.9551086425781
362,463.2834167480469
363,463.59600830078125
364,463.79461669921875
365,464.0051574707031
366,464.2244567871094
367,464.251220703125
368,464.7095642089844
369,464.9556884765625
370,465.32196044921875
371,465.51837158203125
372,465.768310546875
373,465.9841003417969
374,466.2060546875
375,466.592529296875
376,466.8659362792969
377,467.13067626953125
378,467.2681884765625
379,467.3362731933594
380,467.75091552734375
381,468.04620361328125
382,468.22943115234375
383,468.25677490234375
384,468.56964111328125
385,469.0729675292969
386,469.23358154296875
387,469.4552917480469
388,469.9192810058594
389,470.08807373046875
390,470.3026428222656
391,470.45648193359375
392,470.8973083496094
393,471.0716552734375
394,471.33209228515625
395,471.4469299316406
396,471.64178466796875
397,471.7945861816406
398,471.9520568847656
399,472.03704833984375
400,472.2990417480469
401,472.5202941894531
402,472.7039489746094
403,472.994140625
404,473.1769104003906
405,473.436767578125
406,473.47210693359375
407,473.5968322753906
408,474.14776611328125
409,474.2542419433594
410,474.4780578613281
411,474.7182312011719
412,474.9595031738281
413,475.3780822753906
414,475.630126953125
415,475.7327880859375
416,475.8927917480469
417,475.9646301269531
418,476.3199462890625
419,476.4988098144531
420,476.8470764160156
421,477.303466796875
422,477.4794006347656
423,477.6078186035156
424,477.8585205078125
425,478.2955322265625
426,478.4854736328125
427,478.6843566894531
428,478.8092346191406
429,478.96978759765625
430,479.1188659667969
431,479.249267578125
432,479.572021484375
433,479.93115234375
434,480.16778564453125
435,480.25177001953125
436,480.4513854980469
437,480.86883544921875
438,481.1302185058594
439,481.3056640625
440,481.4675598144531
441,481.6168518066406
442,482.1325988769531
443,482.2421569824219
444,482.4844970703125
445,482.84088134765625
446,483.1172180175781
447,483.2876892089844
448,483.3674621582031
449,483.53131103515625
450,483.7571716308594
451,483.8421630859375
452,484.4345703125
453,484.7257995605469
454,484.77862548828125
455,485.22174072265625
456,485.40570068359375
457,485.8025207519531
458,485.90203857421875
459,486.1177062988281
460,486.31201171875
461,486.4820251464844
462,486.6643371582031
463,486.7339782714844
464,487.0126647949219
465,487.3789978027344
466,487.5755310058594
467,487.62506103515625
468,487.86712646484375
469,488.1283874511719
470,488.206787109375
471,488.3439636230469
472,488.58734130859375
473,488.68212890625
474,489.13739013671875
