index_in_run,t,abs_zeta,hardy_z,bracket_left,bracket_right,bracket_width,iterations,method
1,101.31785100573138,3.5422857690865914e-14,-1.5747647885026015e-32,101.29,101.32,0.03,96,hardy_z_sign_scan_bisection
2,103.72553804047834,1.2649065955306883e-15,2.232104726805219e-31,103.72,103.75,0.03,94,hardy_z_sign_scan_bisection
3,105.44662305232609,8.419725772877462e-15,3.5418181337445914e-31,105.43,105.46,0.03,95,hardy_z_sign_scan_bisection
4,107.1686111842764,2.2413834010097467e-14,3.711018153752562e-32,107.14,107.17,0.03,96,hardy_z_sign_scan_bisection
5,111.02953554316967,7.198030527119504e-15,-2.237397297392564e-31,111.01,111.04,0.03,94,hardy_z_sign_scan_bisection
6,111.87465917699264,3.966921383222685e-15,-8.822007828118074e-32,111.85,111.88,0.03,92,hardy_z_sign_scan_bisection
7,114.32022091545271,7.042728375194567e-15,-6.145988579138485e-32,114.31,114.34,0.03,95,hardy_z_sign_scan_bisection
8,116.22668032085755,1.3667985781189432e-14,-8.044247794410423e-31,116.2,116.23,0.03,95,hardy_z_sign_scan_bisection
9,118.79078286597621,2.8468938186298855e-14,-3.266151602646574e-31,118.78,118.81,0.03,96,hardy_z_sign_scan_bisection
10,121.37012500242065,9.365773181018965e-15,-3.162434715504086e-32,121.36,121.39,0.03,95,hardy_z_sign_scan_bisection
11,122.94682929355258,1.2786268448752426e-14,3.7839179482006364e-32,122.92,122.95,0.03,93,hardy_z_sign_scan_bisection
12,124.25681855434577,6.519981514553899e-15,-6.199801851156293e-32,124.24,124.27,0.03,94,hardy_z_sign_scan_bisection
13,127.5166838795965,1.9202624994489756e-14,8.845819734016924e-31,127.51,127.54,0.03,95,hardy_z_sign_scan_bisection
14,129.57870419995606,2.1128848120635995e-14,-9.11935975594801e-32,129.55,129.58,0.03,95,hardy_z_sign_scan_bisection
15,131.08768853093267,3.079663720067316e-14,2.9447822721275453e-31,131.08,131.11,0.03,95,hardy_z_sign_scan_bisection
16,133.4977372029976,3.101926131809299e-14,-2.970178926822156e-32,133.48,133.51,0.03,93,hardy_z_sign_scan_bisection
17,134.75650975337388,2.442426944548663e-14,8.438200620850057e-31,134.74,134.77,0.03,94,hardy_z_sign_scan_bisection
18,138.11604205453344,1.0111923989760342e-14,-9.660209929923057e-32,138.1,138.13,0.03,96,hardy_z_sign_scan_bisection
19,139.7362089521214,1.9905747411003675e-14,4.026451307026101e-31,139.72,139.75,0.03,94,hardy_z_sign_scan_bisection
20,141.12370740402113,1.258932495289079e-14,1.2010440725083104e-31,141.1,141.13,0.03,93,hardy_z_sign_scan_bisection
21,143.11184580762063,1.0272105798977224e-14,-9.438610823930248e-31,143.11,143.14,0.03,95,hardy_z_sign_scan_bisection
22,146.0009824867655,6.024077039619984e-14,-7.264046054872381e-31,145.99,146.02,0.03,95,hardy_z_sign_scan_bisection
23,147.42276534255961,2.2398057080098943e-14,-3.234538751922451e-31,147.4,147.43,0.03,93,hardy_z_sign_scan_bisection
24,150.05352042078488,5.693782984319461e-16,6.109284326616015e-32,150.04,150.07,0.03,94,hardy_z_sign_scan_bisection
25,150.92525761224147,5.123451954279372e-15,-8.639588706934066e-31,150.91,150.94,0.03,94,hardy_z_sign_scan_bisection
26,153.0246938111989,1.612688191967195e-14,8.625244468284091e-32,153.01,153.04,0.03,96,hardy_z_sign_scan_bisection
27,156.11290929423788,3.848080338246599e-14,-2.931321535694515e-32,156.1,156.13,0.03,96,hardy_z_sign_scan_bisection
28,157.59759181759406,1.9604891353351778e-16,2.3508289373794686e-31,157.57,157.6,0.03,94,hardy_z_sign_scan_bisection
29,158.8499881714205,2.7248815288516137e-15,-1.6792600052497743e-31,158.83,158.86,0.03,95,hardy_z_sign_scan_bisection
